P;País;J;V;E;D;GP;GC;Pts
1°;Togo;10;7;2;1;20;8;23
2°;Senegal;10;6;3;1;21;8;21
3°;Zâmbia;10;6;1;3;16;10;19
4°;Congo;10;3;1;6;10;14;10
5°;Mali;10;2;2;6;11;14;8
6°;Libéria;10;1;1;8;3;27;4
1°;Gana;10;6;3;1;17;4;21
2°;R.D. Congo;10;4;4;2;14;10;16
3°;África do Sul;10;5;1;4;12;14;16
4°;Burkina Fasso;10;4;1;5;14;13;13
5°;Cabo Verde;10;3;1;6;8;15;10
6°;Uganda;10;2;2;6;6;15;8
1°;Costa do Marfim;10;7;1;2;20;7;22
2°;Camarões;10;6;3;1;18;18;21
3°;Egito;10;5;2;3;26;15;17
4°;Líbia;10;3;3;4;8;10;12
5°;Sudão;10;1;3;6;6;22;6
6°;Benin;10;1;2;7;9;23;5
1°;Angola;10;6;3;1;12;6;21
2°;Nigéria;10;6;3;1;21;7;21
3°;Zimbabué;10;4;3;3;13;14;15
4°;Gabão;10;2;4;4;11;13;10
5°;Argélia;10;1;5;4;8;15;8
6°;Ruanda;10;1;2;7;6;16;5
1°;Tunísia;10;6;3;1;25;9;21
2°;Marrocos;10;5;5;0;17;7;20
3°;Guiné;10;5;2;3;15;10;17
4°;Quênia;10;3;1;6;8;17;10
5°;Botsuana;10;3;0;7;10;18;9
6°;Malaui;10;1;3;6;12;26;6
