key_id;tournament_id;tournament_name;match_id;match_name;stage_name;group_name;group_stage;knockout_stage;replayed;replay;match_date;match_time;stadium_id;stadium_name;city_name;country_name;home_team_id;home_team_name;home_team_code;away_team_id;away_team_name;away_team_code;score;home_team_score;away_team_score;home_team_score_margin;away_team_score_margin;extra_time;penalty_shootout;score_penalties;home_team_score_penalties;away_team_score_penalties;result;home_team_win;away_team_win;draw
645;WC-2006;2006 FIFA World Cup;M-2006-01;Germany v Costa Rica;group stage;Group A;1;0;0;0;2006-06-09;18:00;S-064;Allianz Arena;Munich;Germany;T-29;Germany;DEU;T-16;Costa Rica;CRI;4–2;4;2;2;-2;0;0;0-0;0;0;home team win;1;0;0
646;WC-2006;2006 FIFA World Cup;M-2006-02;Poland v Ecuador;group stage;Group A;1;0;0;0;2006-06-09;21:00;S-058;Arena AufShalke;Gelsenkirchen;Germany;T-55;Poland;POL;T-24;Ecuador;ECU;0–2;0;2;-2;2;0;0;0-0;0;0;away team win;0;1;0
647;WC-2006;2006 FIFA World Cup;M-2006-03;England v Paraguay;group stage;Group B;1;0;0;0;2006-06-10;15:00;S-057;Waldstadion;Frankfurt;Germany;T-27;England;ENG;T-53;Paraguay;PRY;1–0;1;0;1;-1;0;0;0-0;0;0;home team win;1;0;0
648;WC-2006;2006 FIFA World Cup;M-2006-04;Trinidad and Tobago v Sweden;group stage;Group B;1;0;0;0;2006-06-10;18:00;S-055;Westfalenstadion;Dortmund;Germany;T-74;Trinidad and Tobago;TTO;T-71;Sweden;SWE;0–0;0;0;0;0;0;0;0-0;0;0;draw;0;0;1
649;WC-2006;2006 FIFA World Cup;M-2006-05;Argentina v Ivory Coast;group stage;Group C;1;0;0;0;2006-06-10;21:00;S-060;Volksparkstadion;Hamburg;Germany;T-03;Argentina;ARG;T-40;Ivory Coast;CIV;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
650;WC-2006;2006 FIFA World Cup;M-2006-06;Serbia and Montenegro v Netherlands;group stage;Group C;1;0;0;0;2006-06-11;15:00;S-063;Zentralstadion;Leipzig;Germany;T-64;Serbia and Montenegro;SCG;T-46;Netherlands;NLD;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
651;WC-2006;2006 FIFA World Cup;M-2006-07;Mexico v Iran;group stage;Group D;1;0;0;0;2006-06-11;18:00;S-066;Frankenstadion;Nuremberg;Germany;T-44;Mexico;MEX;T-36;Iran;IRN;3–1;3;1;2;-2;0;0;0-0;0;0;home team win;1;0;0
652;WC-2006;2006 FIFA World Cup;M-2006-08;Angola v Portugal;group stage;Group D;1;0;0;0;2006-06-11;21:00;S-054;RheinEnergieStadion;Cologne;Germany;T-02;Angola;AGO;T-56;Portugal;PRT;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
653;WC-2006;2006 FIFA World Cup;M-2006-09;Australia v Japan;group stage;Group F;1;0;0;0;2006-06-12;15:00;S-062;Fritz-Walter-Stadion;Kaiserslautern;Germany;T-04;Australia;AUS;T-42;Japan;JPN;3–1;3;1;2;-2;0;0;0-0;0;0;home team win;1;0;0
654;WC-2006;2006 FIFA World Cup;M-2006-10;United States v Czech Republic;group stage;Group E;1;0;0;0;2006-06-12;18:00;S-058;Arena AufShalke;Gelsenkirchen;Germany;T-79;United States;USA;T-19;Czech Republic;CZE;0–3;0;3;-3;3;0;0;0-0;0;0;away team win;0;1;0
655;WC-2006;2006 FIFA World Cup;M-2006-11;Italy v Ghana;group stage;Group E;1;0;0;0;2006-06-12;21:00;S-061;Niedersachsenstadion;Hanover;Germany;T-39;Italy;ITA;T-30;Ghana;GHA;2–0;2;0;2;-2;0;0;0-0;0;0;home team win;1;0;0
656;WC-2006;2006 FIFA World Cup;M-2006-12;South Korea v Togo;group stage;Group G;1;0;0;0;2006-06-13;15:00;S-057;Waldstadion;Frankfurt;Germany;T-68;South Korea;KOR;T-73;Togo;TGO;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
657;WC-2006;2006 FIFA World Cup;M-2006-13;France v Switzerland;group stage;Group G;1;0;0;0;2006-06-13;18:00;S-067;Neckarstadion;Stuttgart;Germany;T-28;France;FRA;T-72;Switzerland;CHE;0–0;0;0;0;0;0;0;0-0;0;0;draw;0;0;1
658;WC-2006;2006 FIFA World Cup;M-2006-14;Brazil v Croatia;group stage;Group F;1;0;0;0;2006-06-13;21:00;S-053;Olympiastadion;Berlin;Germany;T-09;Brazil;BRA;T-17;Croatia;HRV;1–0;1;0;1;-1;0;0;0-0;0;0;home team win;1;0;0
659;WC-2006;2006 FIFA World Cup;M-2006-15;Spain v Ukraine;group stage;Group H;1;0;0;0;2006-06-14;15:00;S-063;Zentralstadion;Leipzig;Germany;T-70;Spain;ESP;T-77;Ukraine;UKR;4–0;4;0;4;-4;0;0;0-0;0;0;home team win;1;0;0
