P;País;J;V;E;D;GP;GC;Pts
1°;Países Baixos;12;10;2;0;27;3;32
2°;Chéquia;12;9;0;3;35;12;27
3°;Romênia;12;8;1;3;20;10;25
4°;Finlândia;12;5;1;6;21;19;16
5°;Macedônia do Norte;12;2;3;7;11;24;9
6°;Armênia;12;2;1;9;9;25;7
7°;Andorra;12;1;2;10;4;34;5
1°;Ucrânia;12;7;4;1;18;7;25
2°;Turquia;12;6;5;1;23;9;23
3°;Dinamarca;12;6;4;2;24;12;22
4°;Grécia;12;6;3;3;15;9;21
5°;Albânia;12;4;1;7;11;20;13
6°;Geórgia;12;2;4;6;14;25;10
7°;Cazaquistão;12;0;1;11;6;29;1
1°;Portugal;12;9;3;0;35;5;30
2°;Eslováquia;12;6;5;1;24;8;23
3°;Rússia;12;6;5;1;23;12;23
4°;Estónia;12;5;2;5;16;17;17
5°;Letónia;12;4;3;5;18;21;15
6°;Liechtenstein;12;2;2;8;13;23;8
7°;Luxemburgo;12;0;0;12;5;48;0
1°;França;10;5;5;0;14;2;20
2°;Suíça;10;4;6;0;18;7;18
3°;Israel;10;4;6;0;15;10;18
4°;Irlanda;10;4;5;1;12;5;17
5°;Chipre;10;1;1;8;8;20;4
6°;Ilhas Faroé;10;0;1;9;4;27;1
1°;Itália;10;7;2;1;17;8;23
2°;Noruega;10;5;3;2;12;7;18
3°;Escócia;10;3;4;3;9;7;13
4°;Eslovênia;10;3;3;4;10;13;12
5°;Bielorrússia;10;2;4;4;12;14;10
6°;Moldávia;10;1;2;7;5;16;5
1°;Inglaterra;10;8;1;1;17;5;25
2°;Polónia;10;8;0;2;27;9;24
3°;Áustria;10;4;3;3;15;12;15
4°;Irlanda do Norte;10;2;3;5;10;18;9
5°;País de Gales;10;2;2;6;10;15;8
6°;Azerbaijão;10;0;3;7;1;21;3
1°;Sérvia e Montenegro;10;6;4;0;16;1;22
2°;Espanha;10;5;5;0;19;3;20
3°;Bósnia e Herzegovina;10;4;4;2;12;9;16
4°;Bélgica;10;3;3;4;16;11;12
5°;Lituânia;10;2;4;4;8;9;10
6°;San Marino;10;0;0;10;2;40;0
1°;Croácia;10;7;3;0;21;5;24
2°;Suécia;10;8;0;2;30;4;24
3°;Bulgária;10;4;3;3;17;17;15
4°;Hungria;10;4;2;4;13;14;14
5°;Islândia;10;1;1;8;14;27;4
6°;Malta;10;0;3;7;4;32;3
