Pos;Equipe;Pts;J;V;E;D;GP;GC;SG
1;Camarões;13;6;4;1;1;9;2;7
2;Gabão;9;6;3;0;3;9;7;2
3;Togo;8;6;2;2;2;3;7;-4
4;Marrocos;3;6;0;3;3;3;8;-5
1;Nigéria;12;6;3;3;0;9;4;5
2;Tunísia;11;6;3;2;1;7;4;3
3;Moçambique;7;6;2;1;3;3;5;-2
4;Quênia;3;6;1;0;5;5;11;-6
1;Argélia;13;6;4;1;1;9;4;5
2;Egito;13;6;4;1;1;9;4;5
3;Zâmbia;5;6;1;2;3;2;5;-3
4;Ruanda;2;6;0;2;4;1;8;-7
1;Gana;13;6;4;1;1;9;3;6
2;Benin;10;6;3;1;2;6;6;0
3;Mali;9;6;2;3;1;8;7;1
4;Sudão;1;6;0;1;5;2;9;-7
1;Costa do Marfim;16;6;5;1;0;19;4;15
2;Burkina Faso;12;6;4;0;2;10;11;-1
3;Malaui;4;6;1;1;4;4;11;-7
4;Guiné;3;6;1;0;5;7;14;-7
