Pos;vdeSeleção;Pts;J;V;E;D;GP;GC;SG
1;Dinamarca;21;10;6;3;1;16;5;11
2;Portugal;19;10;5;4;1;17;5;12
3;Suécia;18;10;5;3;2;13;5;8
4;Hungria;16;10;5;1;4;10;8;2
5;Albânia;7;10;1;4;5;6;13;-7
6;Malta;1;10;0;1;9;0;26;-26
1;Suíça;21;10;6;3;1;18;8;10
2;Grécia;20;10;6;2;2;20;10;10
3;Letónia;17;10;5;2;3;18;15;3
4;Israel;16;10;4;4;2;20;10;10
5;Luxemburgo;5;10;1;2;7;4;25;-21
6;Moldávia;3;10;0;3;7;6;18;-12
1;Eslováquia;22;10;7;1;2;22;10;12
2;Eslovênia;20;10;6;2;2;18;4;14
3;Chéquia;16;10;4;4;2;17;6;11
4;Irlanda do Norte;15;10;4;3;3;13;9;4
5;Polónia;11;10;3;2;5;19;14;5
6;San Marino;0;10;0;0;10;1;47;-46
1;Alemanha;26;10;8;2;0;26;5;21
2;Rússia;22;10;7;1;2;19;6;13
3;Finlândia;18;10;5;3;2;14;14;0
4;País de Gales;12;10;4;0;6;9;12;-3
5;Azerbaijão;5;10;1;2;7;4;14;-10
6;Liechtenstein;2;10;0;2;8;2;23;-21
1;Espanha;30;10;10;0;0;28;5;23
2;Bósnia e Herzegovina;19;10;6;1;3;25;13;12
3;Turquia;15;10;4;3;3;13;10;3
4;Bélgica;10;10;3;1;6;13;20;-7
5;Estónia;8;10;2;2;6;9;24;-15
6;Armênia;4;10;1;1;8;6;22;-16
1;Inglaterra;27;10;9;0;1;34;6;28
2;Ucrânia;21;10;6;3;1;21;6;15
3;Croácia;20;10;6;2;2;19;13;6
4;Bielorrússia;13;10;4;1;5;19;14;5
5;Cazaquistão;6;10;2;0;8;11;29;-18
6;Andorra;0;10;0;0;10;3;39;-36
1;Sérvia;22;10;7;1;2;22;8;14
2;França;21;10;6;3;1;18;9;9
3;Áustria;14;10;4;2;4;14;15;-1
4;Lituânia;12;10;4;0;6;10;11;-1
5;Romênia;12;10;3;3;4;12;18;-6
6;Ilhas Faroé;4;10;1;1;8;5;20;-15
1;Itália;24;10;7;3;0;18;7;11
2;Irlanda;18;10;4;6;0;12;8;4
3;Bulgária;14;10;3;5;2;17;13;4
4;Chipre;9;10;2;3;5;14;16;-2
5;Montenegro;9;10;1;6;3;9;14;-5
6;Geórgia;3;10;0;3;7;7;19;-12
1;Países Baixos;24;8;8;0;0;17;2;15
2;Noruega;10;8;2;4;2;9;7;2
3;Escócia;10;8;3;1;4;6;11;-5
4;Macedônia do Norte;7;8;2;1;5;5;11;-6
5;Islândia;5;8;1;2;5;7;13;-6
