Pos;Seleção;Pts;J;V;E;D;GP;GC;SG
1;Etiópia;13;6;4;1;1;8;6;+2
2;África do Sul;11;6;3;2;1;12;5;+7
3;Botsuana;7;6;2;1;3;8;10;–2
4;República Centro-Africana;3;6;1;0;5;5;12;–7
1;Tunísia;14;6;4;2;0;13;6;+7
2;Cabo Verde;9;6;3;0;3;9;7;+2
3;Serra Leoa;8;6;2;2;2;10;10;0
4;Guiné Equatorial;2;6;0;2;4;6;15;–9
1;Costa do Marfim;14;6;4;2;0;15;5;+10
2;Marrocos;9;6;2;3;1;9;8;+1
3;Tanzânia;6;6;2;0;4;8;12;–4
4;Gâmbia;4;6;1;1;4;4;11;–7
1;Gana;15;6;5;0;1;18;3;+15
2;Zâmbia;11;6;3;2;1;11;4;+7
3;Lesoto;5;6;1;2;3;4;15;–13
4;Sudão;2;6;0;2;4;3;14;–11
1;Burquina Fasso;12;6;4;0;2;7;4;+3
2;Congo;11;6;3;2;1;7;3;+4
3;Gabão;7;6;2;1;3;5;6;–1
4;Níger;4;6;1;1;4;6;12;–6
1;Nigéria;12;6;3;3;0;7;3;+4
2;Malawi;7;6;1;4;1;4;5;–1
3;Quénia;6;6;1;3;2;4;5;–1
4;Namíbia;5;6;1;2;3;2;4;–2
1;Egito;18;6;6;0;0;16;7;+9
2;Guiné;10;6;3;1;2;12;8;+4
3;Moçambique;3;6;0;3;3;2;10;–8
4;Zimbabwe;2;6;0;2;4;4;9;–5
1;Argélia;15;6;5;0;1;13;4;+9
2;Mali;8;6;2;2;2;7;7;0
3;Benim;8;6;2;2;2;8;9;–1
4;Ruanda;2;6;0;2;4;3;11;–8
1;Camarões;13;6;4;1;1;8;3;+5
2;Líbia;9;6;2;3;1;5;3;+2
3;RD Congo;6;6;1;3;2;3;3;0
4;Togo;4;6;1;1;4;4;11;–7
1;Senegal;12;6;3;3;0;9;4;+5
2;Uganda;8;6;2;2;2;5;6;–1
3;Angola;7;6;1;4;1;8;6;+2
4;Libéria;4;6;1;1;4;4;10;–6
