Pos.;vdeSeleção;Pts;J;V;E;D;GP;GC;SG
1;Bélgica;26;10;8;2;0;18;4;+14
2;Croácia;17;10;5;2;3;12;9;+3
3;Sérvia;14;10;4;2;4;18;11;+7
4;Escócia;11;10;3;2;5;8;12;–4
5;País de Gales;10;10;3;1;6;9;20;–11
6;Macedônia do Norte;7;10;2;1;7;7;16;–9
1;Itália;22;10;6;4;0;19;9;+10
2;Dinamarca;16;10;4;4;2;17;12;+5
3;Chéquia;15;10;4;3;3;13;9;+4
4;Bulgária;13;10;3;4;3;14;9;+5
5;Armênia;13;10;4;1;5;12;13;–1
6;Malta;3;10;1;0;9;5;28;–23
1;Alemanha;28;10;9;1;0;36;10;+26
2;Suécia;20;10;6;2;2;19;14;+5
3;Áustria;17;10;5;2;3;20;10;+10
4;Irlanda;14;10;4;2;4;16;17;–1
5;Cazaquistão;5;10;1;2;7;6;21;–15
6;Ilhas Faroé;1;10;0;1;9;4;29;–25
1;Países Baixos;28;10;9;1;0;34;5;+29
2;Romênia;19;10;6;1;3;19;12;+7
3;Hungria;17;10;5;2;3;21;20;+1
4;Turquia;16;10;5;1;4;16;9;+7
5;Estónia;7;10;2;1;7;6;20;–14
6;Andorra;0;10;0;0;10;0;30;–30
1;Suíça;24;10;7;3;0;17;6;+11
2;Islândia;17;10;5;2;3;17;15;+2
3;Eslovênia;15;10;5;0;5;14;11;+3
4;Noruega;12;10;3;3;4;10;13;–3
5;Albânia;11;10;3;2;5;9;11;–2
6;Chipre;5;10;1;2;7;4;15;–11
1;Rússia;22;10;7;1;2;20;5;+15
2;Portugal;21;10;6;3;1;20;9;+11
3;Israel;14;10;3;5;2;19;14;+5
4;Azerbaijão;9;10;1;6;3;7;11;–4
5;Irlanda do Norte;7;10;1;4;5;9;17;–8
6;Luxemburgo;6;10;1;3;6;7;26;–19
1;Bósnia e Herzegovina;25;10;8;1;1;30;6;+24
2;Grécia;25;10;8;1;1;12;4;+8
3;Eslováquia;13;10;3;4;3;11;10;+1
4;Lituânia;11;10;3;2;5;9;11;–2
5;Letónia;8;10;2;2;6;10;20;–10
6;Liechtenstein;2;10;0;2;8;4;25;–21
1;Inglaterra;22;10;6;4;0;31;4;+27
2;Ucrânia;21;10;6;3;1;28;4;+24
3;Montenegro;15;10;4;3;3;18;17;+1
4;Polónia;13;10;3;4;3;18;12;+6
5;Moldávia;11;10;3;2;5;12;17;–5
6;San Marino;0;10;0;0;10;1;54;–53
1;Espanha;20;8;6;2;0;14;3;+11
2;França;17;8;5;2;1;15;6;+9
3;Finlândia;9;8;2;3;3;5;9;–4
4;Geórgia;5;8;1;2;5;3;10;–7
5;Bielorrússia;4;8;1;1;6;7;16;–9
