Pos.;vdeSeleção;Pts;J;V;E;D;GP;GC;SG
1;Tunísia;14;6;4;2;0;11;4;+7
2;RD Congo;13;6;4;1;1;14;7;+5
3;Líbia;4;6;1;1;4;4;10;–6
4;Guiné;3;6;1;0;5;5;13;–8
1;Nigéria;13;6;4;2;0;11;6;+5
2;Zâmbia;8;6;2;2;2;8;7;+1
3;Camarões;7;6;1;4;1;7;9;–2
4;Argélia;4;6;0;2;4;6;10;–4
1;Marrocos;12;6;3;3;0;11;0;+11
2;Costa do Marfim;8;6;2;2;2;7;5;+2
3;Gabão;5;6;1;3;2;2;7;–5
4;Mali;4;6;0;4;2;1;9;–8
1;Senegal;14;6;4;2;0;10;3;+7
2;Burquina Fasso;9;6;2;3;1;10;6;+4
3;Cabo Verde;6;6;2;0;4;4;12;–8
4;África do Sul;4;6;1;1;4;7;10;–3
1;Egito;13;6;4;1;1;8;4;+4
2;Uganda;9;6;2;3;1;3;2;+1
3;Gana;7;6;1;4;1;7;5;+2
4;Congo;2;6;0;2;4;5;12;–7
