GER-POT;Nome;Posições Preferidas;Idade;ano;page;selecao
;;;;2018;1;7
;;;;2018;1;7
9191.0;Kevin De Bruyne;MEIMC;28.0;2018;1;7
9191.0;Eden Hazard;PESA;28.0;2018;1;7
8889.0;Thibaut Courtois;GOL;27.0;2018;1;7
8787.0;Toby Alderweireld;ZAG;30.0;2018;1;7
8787.0;Dries Mertens;SAATA;32.0;2018;1;7
;;;;2018;1;7
;;;;2018;1;7
8787.0;Jan Vertonghen;ZAG;32.0;2018;1;7
8688.0;Romelu Lukaku;ATA;26.0;2018;1;7
8585.0;Radja Nainggolan;MCMEI;31.0;2018;1;7
8585.0;Axel Witsel;VOLMC;30.0;2018;1;7
8484.0;Vincent Kompany;ZAG;33.0;2018;1;7
;;;;2018;1;7
;;;;2018;1;7
8384.0;Yannick Carrasco;ME;26.0;2018;1;7
8385.0;Koen Casteels;GOL;27.0;2018;1;7
8283.0;Thorgan Hazard;PDPESA;26.0;2018;1;7
8283.0;Thomas Meunier;LDMD;27.0;2018;1;7
8181.0;Mousa Dembélé;MCVOL;32.0;2018;1;7
;;;;2018;1;7
;;;;2018;1;7
8083.0;Michy Batshuayi;ATA;25.0;2018;1;7
7985.0;Jason Denayer;ZAG;24.0;2018;1;7
7985.0;Leander Dendoncker;VOLZAGMC;24.0;2018;1;7
7985.0;Adnan Januzaj;PDMD;24.0;2018;1;7
7983.0;Leandro Trossard;PE;24.0;2018;1;7
;;;;2018;1;7
;;;;2018;1;7
7980.0;Hans Vanaken;MEISA;27.0;2018;1;7
7887.0;Youri Tielemans;MCVOL;22.0;2018;1;7
7881.0;Matz Sels;GOL;27.0;2018;1;7
7880.0;Christian Kabasele;ZAG;28.0;2018;1;7
7878.0;Simon Mignolet;GOL;31.0;2018;1;7
;;;;2018;1;7
;;;;2018;1;7
7878.0;Kevin Mirallas;MEPEATA;31.0;2018;1;7
7878.0;Steven Defour;MC;31.0;2018;1;7
7878.0;Thomas Vermaelen;ZAGLE;33.0;2018;1;7
7782.0;Divock Origi;ATA;24.0;2018;1;7
7780.0;Jordan Lukaku;MELE;25.0;2018;1;7
;;;;2018;2;7
;;;;2018;2;7
7777.0;Nacer Chadli;MEMDPE;30.0;2018;2;7
7782.0;Dennis Praet;MCMEI;25.0;2018;2;7
7777.0;Vadis Odjidja-Ofoe;MCVOLMEI;30.0;2018;2;7
7679.0;Brandon Mechele;ZAG;26.0;2018;2;7
7683.0;Björn Engels;ZAG;24.0;2018;2;7
;;;;2018;2;7
;;;;2018;2;7
7676.0;Marouane Fellaini;MCATA;31.0;2018;2;7
7676.0;Sven Kums;MCVOL;31.0;2018;2;7
7676.0;Silvio Proto;GOL;36.0;2018;2;7
7583.0;Landry Dimata;ATA;22.0;2018;2;7
7582.0;Dodi Lukebakio;ATAMD;21.0;2018;2;7
;;;;2018;2;7
;;;;2018;2;7
7581.0;Théo Bongonda;MEMD;23.0;2018;2;7
7581.0;Siebe Schrijvers;SAMEIMC;23.0;2018;2;7
7580.0;Thomas Foket;LD;24.0;2018;2;7
7580.0;Benito Raman;MEMDATA;24.0;2018;2;7
7577.0;Dedryck Boyata;ZAG;28.0;2018;2;7
;;;;2018;2;7
;;;;2018;2;7
7578.0;Mats Rits;MCVOLMEI;26.0;2018;2;7
7577.0;Sebastien Dewaest;ZAG;28.0;2018;2;7
7575.0;Christian Benteke;ATA;28.0;2018;2;7
7483.0;Timothy Castagne;MEMDLD;23.0;2018;2;7
7474.0;Laurent Depoitre;ATA;30.0;2018;2;7
;;;;2018;2;7
;;;;2018;2;7
7478.0;Birger Verstraete;VOLMC;25.0;2018;2;7
7481.0;Charly Musonda;MDME;22.0;2018;2;7
7477.0;Thomas Kaminski;GOL;26.0;2018;2;7
7474.0;Faris Haroun;VOLMC;33.0;2018;2;7
7474.0;Jelle Van Damme;ZAGLEADE;35.0;2018;2;7
;;;;2018;2;7
;;;;2018;2;7
7387.0;Zinho Vanheusden;ZAG;20.0;2018;2;7
7384.0;Orel Mangala;MCVOL;21.0;2018;2;7
7379.0;Bryan Heynen;MCVOL;22.0;2018;2;7
7373.0;Renaud Emond;ATA;27.0;2018;2;7
7376.0;Dorian Dessoleil;ZAG;27.0;2018;2;7
;;;;2018;3;7
;;;;2018;3;7
7377.0;Davy Roef;GOL;25.0;2018;3;7
7377.0;Dino Arslanagic;ZAG;26.0;2018;3;7
7377.0;Hendrik Van Crombrugge;GOL;26.0;2018;3;7
7376.0;Anthony Limbombe;MEPE;25.0;2018;3;7
7373.0;Brecht Dejaegere;MCMDVOLME;28.0;2018;3;7
;;;;2018;3;7
;;;;2018;3;7
7373.0;Jelle Vossen;ATA;30.0;2018;3;7
7278.0;Alexis De Sart;MCVOLMEI;22.0;2018;3;7
7280.0;Isaac Mbenza;ATAMD;23.0;2018;3;7
7279.0;Aaron Leya Iseka;ATA;21.0;2018;3;7
7278.0;Samuel Bastien;MCMEI;22.0;2018;3;7
;;;;2018;3;7
;;;;2018;3;7
7276.0;Pieter Gerkens;MEISAMCMD;24.0;2018;3;7
7277.0;Boli Bolingoli;LEPE;24.0;2018;3;7
7273.0;Stef Peeters;MCMEIVOL;27.0;2018;3;7
7272.0;Ilombe Mboyo;PEATA;32.0;2018;3;7
7272.0;Maxime Lestienne;MEMD;27.0;2018;3;7
;;;;2018;3;7
;;;;2018;3;7
7272.0;Stijn Wuytens;ZAG;29.0;2018;3;7
7272.0;Ritchie De Laet;LDLEATA;30.0;2018;3;7
7272.0;Nicolas Lombaerts;ZAG;34.0;2018;3;7
7272.0;Sammy Bossut;GOL;34.0;2018;3;7
7187.0;Yari Verschaeren;MEIMDME;18.0;2018;3;7
;;;;2018;3;7
;;;;2018;3;7
7183.0;Alexis Saelemaekers;MDLD;20.0;2018;3;7
7177.0;Casper De Norre;LEADEME;22.0;2018;3;7
7177.0;Dion Cools;MDLDLE;23.0;2018;3;7
7178.0;Benson Manuel;PEPD;22.0;2018;3;7
7176.0;Julien De Sart;VOLMC;24.0;2018;3;7
;;;;2018;3;7
;;;;2018;3;7
7177.0;Baptiste Guillaume;ATA;24.0;2018;3;7
7173.0;Massimo Bruno;MDMEMEI;25.0;2018;3;7
7173.0;Hannes Van Der Bruggen;MCVOL;26.0;2018;3;7
7171.0;Yassine El Ghanassy;MEMD;29.0;2018;3;7
7171.0;Nill De Pauw;MDMEISA;29.0;2018;3;7
;;;;2018;4;7
;;;;2018;4;7
7171.0;Timothy Derijck;ZAG;32.0;2018;4;7
7171.0;Kenny Steppe;GOL;30.0;2018;4;7
7171.0;Guillaume Gillet;VOLMC;35.0;2018;4;7
7171.0;Frank Boeckx;GOL;32.0;2018;4;7
7171.0;Olivier Deschacht;ZAGLE;38.0;2018;4;7
;;;;2018;4;7
;;;;2018;4;7
7081.0;Sebastiaan Bornauw;ZAG;20.0;2018;4;7
7084.0;Francis Amuzu;MEMD;20.0;2018;4;7
7070.0;Stallone Limbombe;PDMD;28.0;2018;4;7
7078.0;Wout Faes;ZAGVOL;21.0;2018;4;7
7075.0;Anthony D'Alberto;LDLE;24.0;2018;4;7
;;;;2018;4;7
;;;;2018;4;7
7076.0;Selim Amallah;MDMEMEI;22.0;2018;4;7
7075.0;Gaëtan Hendrickx;VOLMC;24.0;2018;4;7
7077.0;Obbi Oularé;ATA;23.0;2018;4;7
7070.0;Erdem Şen;VOL;30.0;2018;4;7
7074.0;Sander Coopman;MEIMDSA;24.0;2018;4;7
;;;;2018;4;7
;;;;2018;4;7
7075.0;Zakaria Bakkali;MEMDSA;23.0;2018;4;7
7073.0;Zinho Gano;ATA;25.0;2018;4;7
