Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação
1;Irã;25;10;8;1;1;15;4;+11;Equipe classificada a Copa do Mundo FIFA de 2022
2;Coreia do Sul;23;10;7;2;1;13;3;+10;Equipe classificada a Copa do Mundo FIFA de 2022
3;Emirados Árabes Unidos;12;10;3;3;4;7;7;0;Equipe classificada a quarta fase
4;Iraque;9;10;1;6;3;6;12;−6;Eliminado
5;Síria;6;10;1;3;6;9;19;−10;Eliminado
6;Líbano;6;10;1;3;6;5;13;−8;Eliminado
1;Arábia Saudita;23;10;7;2;1;12;6;+6;Equipe classificada a Copa do Mundo FIFA de 2022
2;Japão;22;10;7;1;2;12;4;+8;Equipe classificada a Copa do Mundo FIFA de 2022
3;Austrália;15;10;4;3;3;15;9;+6;Equipe classificada a quarta fase
4;Omã;14;10;4;2;4;11;10;+1;Eliminado
5;China;6;10;1;3;6;9;19;−10;Eliminado
6;Vietnã;4;10;1;1;8;8;19;−11;Eliminado
