Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação
1;Brasil;45;17;14;3;0;40;5;+35;Copa do Mundo de 2022
2;Argentina;39;17;11;6;0;27;8;+19;Copa do Mundo de 2022
3;Uruguai;28;18;8;4;6;22;22;0;Copa do Mundo de 2022
4;Equador;26;18;7;5;6;27;19;+8;Copa do Mundo de 2022
5;Peru;24;18;7;3;8;19;22;−3;Repescagem intercontinental
6;Colômbia;23;18;5;8;5;20;19;+1;Eliminados
7;Chile;19;18;5;4;9;19;26;−7;Eliminados
8;Paraguai;16;18;3;7;8;12;26;−14;Eliminados
9;Bolívia;15;18;4;3;11;23;42;−19;Eliminados
10;Venezuela;10;18;3;1;14;14;34;−20;Eliminados
