Pos;Equipe;Pts;J;V;E;D;GP;GC;SG;Classificação
1;Sérvia;20;8;6;2;0;18;9;+9;qualificadas para a Copa do Mundo de 2022
2;Portugal;17;8;5;2;1;17;6;+11;qualificadas para a segunda fase
3;Irlanda;9;8;2;3;3;11;8;+3;Eliminado
4;Luxemburgo;9;8;3;0;5;8;18;−10;Eliminado
5;Azerbaijão;1;8;0;1;7;5;18;−13;Eliminado
1;Espanha;19;8;6;1;1;15;5;+10;qualificadas para a Copa do Mundo de 2022
2;Suécia;15;8;5;0;3;12;6;+6;qualificadas para a segunda fase
3;Grécia;10;8;2;4;2;8;8;0;Eliminado
4;Geórgia;7;8;2;1;5;6;12;−6;Eliminado
5;Kosovo;5;8;1;2;5;5;15;−10;Eliminado
1;Suíça;18;8;5;3;0;15;2;+13;qualificadas para a Copa do Mundo de 2022
2;Itália;16;8;4;4;0;13;2;+11;qualificadas para a segunda fase
3;Irlanda do Norte;9;8;2;3;3;6;7;−1;Eliminado
4;Bulgária;8;8;2;2;4;6;14;−8;Eliminado
5;Lituânia;3;8;1;0;7;4;19;−15;Eliminado
1;França;18;8;5;3;0;18;3;+15;qualificadas para a Copa do Mundo de 2022
2;Ucrânia;12;8;2;6;0;11;8;+3;qualificadas para a segunda fase
3;Finlândia;11;8;3;2;3;10;10;0;Eliminado
4;Bósnia e Herzegovina;7;8;1;4;3;9;12;−3;Eliminado
5;Cazaquistão;3;8;0;3;5;5;20;−15;Eliminado
1;Bélgica;20;8;6;2;0;25;6;+19;qualificadas para a Copa do Mundo de 2022
2;País de Gales;15;8;4;3;1;14;9;+5;qualificadas para a segunda fase
3;Chéquia;14;8;4;2;2;14;9;+5;qualificadas para a segunda fase
4;Estónia;4;8;1;1;6;9;21;−12;Eliminado
5;Bielorrússia;3;8;1;0;7;7;24;−17;Eliminado
1;Dinamarca;27;10;9;0;1;30;3;+27;qualificadas para a Copa do Mundo de 2022
2;Escócia;23;10;7;2;1;17;7;+10;qualificadas para a segunda fase
3;Israel;16;10;5;1;4;23;21;+2;Eliminado
4;Áustria;16;10;5;1;4;19;17;+2;qualificadas para a segunda fase
5;Ilhas Faroé;4;10;1;1;8;7;23;−16;Eliminado
6;Moldávia;1;10;0;1;9;5;30;−25;Eliminado
1;Países Baixos;23;10;7;2;1;33;8;+25;qualificadas para a Copa do Mundo de 2022
2;Turquia;21;10;6;3;1;27;16;+11;qualificadas para a segunda fase
3;Noruega;18;10;5;3;2;15;8;+7;Eliminado
4;Montenegro;12;10;3;3;4;14;15;−1;Eliminado
5;Letónia;9;10;2;3;5;11;14;−3;Eliminado
6;Gibraltar;0;10;0;0;10;4;43;−39;Eliminado
1;Croácia;23;10;7;2;1;21;4;+17;qualificadas para a Copa do Mundo de 2022
2;Rússia;22;10;7;1;2;19;6;+13;qualificadas para a segunda fase
3;Eslováquia;14;11;3;5;3;17;10;+7;Eliminado
4;Eslovênia;14;10;4;2;4;13;12;+1;Eliminado
5;Chipre;5;10;1;2;7;4;21;−17;Eliminado
6;Malta;5;10;1;2;7;9;30;−21;Eliminado
1;Inglaterra;26;10;8;2;0;39;3;+36;qualificadas para a Copa do Mundo de 2022
2;Polónia;20;10;6;2;2;30;11;+19;qualificadas para a segunda fase
3;Albânia;18;10;6;0;4;12;12;0;Eliminado
4;Hungria;17;10;5;2;3;19;13;+6;Eliminado
5;Andorra;6;10;2;0;8;8;24;−16;Eliminado
6;San Marino;0;10;0;0;10;1;46;−45;Eliminado
1;Alemanha;27;10;9;0;1;36;4;+32;qualificadas para a Copa do Mundo de 2022
2;Macedônia do Norte;18;10;5;3;2;23;11;+12;qualificadas para a segunda fase
3;Romênia;17;10;5;2;3;13;8;+5;Eliminado
4;Armênia;12;10;3;3;4;9;20;−11;Eliminado
5;Islândia;9;10;2;3;5;12;18;−6;Eliminado
6;Liechtenstein;1;10;0;1;9;2;34;−32;Eliminado
