pos_elim;selecao;j;v;e;d;gp;gc;pts;conf_cont;sg;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;repescagem;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;brasil;18.0;9.0;7.0;2.0;35.0;17.0;34.0;conmebol;18.0;6;14;25;20.17;4;6;5.0;2;7;5.17;5;12;7.83;18;24;20.83;16;37;26.5;-17;8;-5.67;0.63;0.5;0;1.94;0.94;1.0;0
2.0;argentina;18.0;10.0;4.0;4.0;29.0;17.0;34.0;conmebol;12.0;6;14;25;20.17;4;6;5.0;2;7;5.17;5;12;7.83;18;24;20.83;16;37;26.5;-17;8;-5.67;0.63;0.56;0;1.61;0.94;0.67;0
3.0;equador;18.0;8.0;4.0;6.0;23.0;19.0;28.0;conmebol;4.0;6;14;25;20.17;4;6;5.0;2;7;5.17;5;12;7.83;18;24;20.83;16;37;26.5;-17;8;-5.67;0.52;0.44;0;1.28;1.06;0.22;0
4.0;paraguai;18.0;8.0;4.0;6.0;23.0;23.0;28.0;conmebol;0.0;6;14;25;20.17;4;6;5.0;2;7;5.17;5;12;7.83;18;24;20.83;16;37;26.5;-17;8;-5.67;0.52;0.44;0;1.28;1.28;0.0;0
1.0;mexico;10.0;7.0;1.0;2.0;22.0;9.0;22.0;concacaf;13.0;2;2;11;6.5;0;3;1.5;2;2;2.0;5;8;6.5;4;16;10.0;18;21;19.5;-17;-2;-9.5;0.73;0.7;0;2.2;0.9;1.3;0
2.0;estados_unidos;10.0;7.0;1.0;2.0;16.0;6.0;22.0;concacaf;10.0;2;2;11;6.5;0;3;1.5;2;2;2.0;5;8;6.5;4;16;10.0;18;21;19.5;-17;-2;-9.5;0.73;0.7;0;1.6;0.6;1.0;0
3.0;costa_rica;10.0;5.0;1.0;4.0;15.0;14.0;16.0;concacaf;1.0;2;2;11;6.5;0;3;1.5;2;2;2.0;5;8;6.5;4;16;10.0;18;21;19.5;-17;-2;-9.5;0.53;0.5;0;1.5;1.4;0.1;0
4.0;trindade_e_tobago;10.0;4.0;1.0;5.0;10.0;15.0;13.0;concacaf;-5.0;2;2;11;6.5;0;3;1.5;2;2;2.0;5;8;6.5;4;16;10.0;18;21;19.5;-17;-2;-9.5;0.43;0.4;1;1.0;1.5;-0.5;0
1.0;holanda;12.0;10.0;2.0;0.0;27.0;3.0;32.0;uefa;24.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.89;0.83;0;2.25;0.25;2.0;0
2.0;republica_tcheca;12.0;9.0;0.0;3.0;35.0;12.0;27.0;uefa;23.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.75;0.75;0;2.92;1.0;1.92;0
1.0;ucrania;12.0;7.0;4.0;1.0;18.0;7.0;25.0;uefa;11.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.69;0.58;0;1.5;0.58;0.92;0
1.0;portugal;12.0;9.0;3.0;0.0;35.0;5.0;30.0;uefa;30.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.83;0.75;0;2.92;0.42;2.5;0
1.0;franca;10.0;5.0;5.0;0.0;14.0;2.0;20.0;uefa;12.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.67;0.5;0;1.4;0.2;1.2;0
2.0;suica;10.0;4.0;6.0;0.0;18.0;7.0;18.0;uefa;11.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.6;0.4;0;1.8;0.7;1.1;0
1.0;italia;10.0;7.0;2.0;1.0;17.0;8.0;23.0;uefa;9.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.77;0.7;0;1.7;0.8;0.9;0
1.0;inglaterra;10.0;8.0;1.0;1.0;17.0;5.0;25.0;uefa;12.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.83;0.8;0;1.7;0.5;1.2;0
2.0;polonia;10.0;8.0;0.0;2.0;27.0;9.0;24.0;uefa;18.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.8;0.8;0;2.7;0.9;1.8;0
1.0;servia;10.0;6.0;4.0;0.0;16.0;1.0;22.0;uefa;15.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.73;0.6;0;1.6;0.1;1.5;0
2.0;espanha;10.0;5.0;5.0;0.0;19.0;3.0;20.0;uefa;16.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.67;0.5;0;1.9;0.3;1.6;0
1.0;croacia;10.0;7.0;3.0;0.0;21.0;5.0;24.0;uefa;16.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.8;0.7;0;2.1;0.5;1.6;0
2.0;suecia;10.0;8.0;0.0;2.0;30.0;4.0;24.0;uefa;26.0;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.8;0.8;0;3.0;0.4;2.6;0
1.61;alemanha;10.61;6.55;2.42;1.65;19.9;7.77;22.06;uefa;12.13;38;0;25;11.71;0;8;3.0;0;6;2.71;0;12;5.21;1;24;12.26;5;48;18.13;-43;16;-5.87;0.71;0.63;0;1.91;0.69;1.22;1
1.0;togo;10.0;7.0;2.0;1.0;20.0;8.0;23.0;caf;12.0;25;4;21;12.28;1;6;3.32;0;5;2.32;0;8;4.36;3;26;12.12;7;27;14.84;-24;14;-2.72;0.77;0.7;0;2.0;0.8;1.2;0
1.0;gana;10.0;6.0;3.0;1.0;17.0;4.0;21.0;caf;13.0;25;4;21;12.28;1;6;3.32;0;5;2.32;0;8;4.36;3;26;12.12;7;27;14.84;-24;14;-2.72;0.7;0.6;0;1.7;0.4;1.3;0
1.0;costa_do_marfim;10.0;7.0;1.0;2.0;20.0;7.0;22.0;caf;13.0;25;4;21;12.28;1;6;3.32;0;5;2.32;0;8;4.36;3;26;12.12;7;27;14.84;-24;14;-2.72;0.73;0.7;0;2.0;0.7;1.3;0
1.0;angola;10.0;6.0;3.0;1.0;12.0;6.0;21.0;caf;6.0;25;4;21;12.28;1;6;3.32;0;5;2.32;0;8;4.36;3;26;12.12;7;27;14.84;-24;14;-2.72;0.7;0.6;0;1.2;0.6;0.6;0
1.0;tunisia;10.0;6.0;3.0;1.0;25.0;9.0;21.0;caf;16.0;25;4;21;12.28;1;6;3.32;0;5;2.32;0;8;4.36;3;26;12.12;7;27;14.84;-24;14;-2.72;0.7;0.6;0;2.5;0.9;1.6;0
1.0;arabia_saudita;6.0;4.0;2.0;0.0;10.0;1.0;14.0;afc;9.0;4;3;5;4.0;1;1;1.0;0;2;1.0;3;5;4.0;4;7;5.0;7;13;10.5;-9;-3;-5.5;0.78;0.67;0;1.67;0.17;1.5;0
2.0;coreia_do_sul;6.0;3.0;1.0;2.0;9.0;5.0;10.0;afc;4.0;4;3;5;4.0;1;1;1.0;0;2;1.0;3;5;4.0;4;7;5.0;7;13;10.5;-9;-3;-5.5;0.56;0.5;0;1.5;0.83;0.67;0
1.0;japao;6.0;5.0;0.0;1.0;9.0;4.0;15.0;afc;5.0;4;3;5;4.0;1;1;1.0;0;2;1.0;3;5;4.0;4;7;5.0;7;13;10.5;-9;-3;-5.5;0.83;0.83;0;1.5;0.67;0.83;0
2.0;ira;6.0;4.0;1.0;1.0;7.0;3.0;13.0;afc;4.0;4;3;5;4.0;1;1;1.0;0;2;1.0;3;5;4.0;4;7;5.0;7;13;10.5;-9;-3;-5.5;0.72;0.67;0;1.17;0.5;0.67;0
1.0;australia;5.0;4.0;1.0;0.0;21.0;3.0;13.0;ofc;18.0;5;3;10;6.0;1;3;1.8;0;1;0.6;1;4;2.6;2;17;7.2;5;24;10.8;-22;12;-3.6;0.87;0.8;1;4.2;0.6;3.6;0
