home_team_name;away_team_name;home_team_win
africa_do_sul;mexico;0
uruguai;franca;0
coreia_do_sul;grecia;1
argentina;nigeria;1
inglaterra;estados_unidos;0
algeria;eslovenia;0
servia;gana;0
alemanha;australia;1
holanda;dinamarca;1
japao;camaroes;1
italia;paraguai;0
nova_zelandia;eslovaquia;0
costa_do_marfim;portugal;0
brasil;coreia_do_norte;1
honduras;chile;0
espanha;suica;0
africa_do_sul;uruguai;0
argentina;coreia_do_sul;1
grecia;nigeria;1
franca;mexico;0
alemanha;servia;0
eslovenia;estados_unidos;0
inglaterra;algeria;0
holanda;japao;1
gana;australia;0
camaroes;dinamarca;0
eslovaquia;paraguai;0
italia;nova_zelandia;0
brasil;costa_do_marfim;1
portugal;coreia_do_norte;1
chile;suica;1
espanha;honduras;1
franca;africa_do_sul;0
mexico;uruguai;0
grecia;argentina;0
nigeria;coreia_do_sul;0
eslovenia;inglaterra;0
estados_unidos;algeria;1
australia;servia;1
gana;alemanha;0
paraguai;nova_zelandia;0
eslovaquia;italia;1
camaroes;holanda;0
dinamarca;japao;0
coreia_do_norte;costa_do_marfim;0
portugal;brasil;0
chile;espanha;0
suica;honduras;0
uruguai;coreia_do_sul;1
estados_unidos;gana;0
alemanha;inglaterra;1
argentina;mexico;1
holanda;eslovaquia;1
brasil;chile;1
paraguai;japao;1
espanha;portugal;1
holanda;brasil;1
uruguai;gana;1
argentina;alemanha;0
paraguai;espanha;0
uruguai;holanda;0
alemanha;espanha;0
uruguai;alemanha;0
holanda;espanha;0
