pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;classif;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;argentina;32.0;16.0;9.0;5.0;2.0;35.0;15.0;20.0;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.67;0.56;direta;2.19;0.94;1.25;0
2.0;colombia;30.0;16.0;9.0;3.0;4.0;27.0;13.0;14.0;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.62;0.56;direta;1.69;0.81;0.88;0
3.0;chile;28.0;16.0;9.0;1.0;6.0;29.0;25.0;4.0;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.58;0.56;direta;1.81;1.56;0.25;0
4.0;equador;25.0;16.0;7.0;4.0;5.0;20.0;16.0;4.0;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.52;0.44;direta;1.25;1.0;0.25;0
5.0;uruguai;25.0;16.0;7.0;4.0;5.0;25.0;25.0;0.0;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.52;0.44;repescagem;1.56;1.56;0.0;0
1.71;brasil;20.39;9.94;6.03;2.29;1.61;18.45;8.03;10.42;conmebol;4;12;20;14.75;2;5;3.5;3;6;4.25;6;10;8.25;14;17;16.25;20;31;26.75;-14;-6;-10.5;0.7;0.62;direta;1.87;0.75;1.12;1
1.0;estados_unidos;22.0;10.0;7.0;1.0;2.0;15.0;8.0;7.0;concacaf;2;5;8;6.5;0;1;0.5;5;5;5.0;4;5;4.5;5;10;7.5;13;14;13.5;-8;-4;-6.0;0.73;0.7;direta;1.5;0.8;0.7;0
2.0;costa_rica;18.0;10.0;5.0;3.0;2.0;13.0;7.0;6.0;concacaf;2;5;8;6.5;0;1;0.5;5;5;5.0;4;5;4.5;5;10;7.5;13;14;13.5;-8;-4;-6.0;0.6;0.5;direta;1.3;0.7;0.6;0
3.0;honduras;15.0;10.0;4.0;3.0;3.0;13.0;12.0;1.0;concacaf;2;5;8;6.5;0;1;0.5;5;5;5.0;4;5;4.5;5;10;7.5;13;14;13.5;-8;-4;-6.0;0.5;0.4;direta;1.3;1.2;0.1;0
4.0;mexico;11.0;10.0;2.0;5.0;3.0;7.0;9.0;-2.0;concacaf;2;5;8;6.5;0;1;0.5;5;5;5.0;4;5;4.5;5;10;7.5;13;14;13.5;-8;-4;-6.0;0.37;0.2;repescagem;0.7;0.9;-0.2;0
1.0;belgica;26.0;10.0;8.0;2.0;0.0;18.0;4.0;14.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.87;0.8;direta;1.8;0.4;1.4;0
2.0;croacia;17.0;10.0;5.0;2.0;3.0;12.0;9.0;3.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.57;0.5;direta;1.2;0.9;0.3;0
1.0;italia;22.0;10.0;6.0;4.0;0.0;19.0;9.0;10.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.73;0.6;direta;1.9;0.9;1.0;0
1.0;alemanha;28.0;10.0;9.0;1.0;0.0;36.0;10.0;26.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.93;0.9;direta;3.6;1.0;2.6;0
1.0;holanda;28.0;10.0;9.0;1.0;0.0;34.0;5.0;29.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.93;0.9;direta;3.4;0.5;2.9;0
1.0;suica;24.0;10.0;7.0;3.0;0.0;17.0;6.0;11.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.8;0.7;direta;1.7;0.6;1.1;0
1.0;russia;22.0;10.0;7.0;1.0;2.0;20.0;5.0;15.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.73;0.7;direta;2.0;0.5;1.5;0
2.0;portugal;21.0;10.0;6.0;3.0;1.0;20.0;9.0;11.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.7;0.6;direta;2.0;0.9;1.1;0
1.0;bosnia_e_herzegovina;25.0;10.0;8.0;1.0;1.0;30.0;6.0;24.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.83;0.8;direta;3.0;0.6;2.4;0
