home_team_name;away_team_name;home_team_win;ano
brasil;croacia;1;2014
mexico;camaroes;1;2014
espanha;holanda;0;2014
chile;australia;1;2014
colombia;grecia;1;2014
uruguai;costa_rica;0;2014
inglaterra;italia;0;2014
costa_do_marfim;japao;1;2014
suica;equador;1;2014
franca;honduras;1;2014
argentina;bosnia_e_herzegovina;1;2014
alemanha;portugal;1;2014
ira;nigeria;0;2014
gana;estados_unidos;0;2014
belgica;argelia;1;2014
brasil;mexico;0;2014
russia;coreia_do_sul;0;2014
australia;holanda;0;2014
espanha;chile;0;2014
camaroes;croacia;0;2014
colombia;costa_do_marfim;1;2014
uruguai;inglaterra;1;2014
japao;grecia;0;2014
italia;costa_rica;0;2014
suica;franca;0;2014
honduras;equador;0;2014
argentina;ira;1;2014
alemanha;gana;0;2014
nigeria;bosnia_e_herzegovina;1;2014
belgica;russia;1;2014
coreia_do_sul;argelia;0;2014
estados_unidos;portugal;0;2014
australia;espanha;0;2014
holanda;chile;1;2014
camaroes;brasil;0;2014
croacia;mexico;0;2014
costa_rica;inglaterra;0;2014
italia;uruguai;0;2014
japao;colombia;0;2014
grecia;costa_do_marfim;1;2014
bosnia_e_herzegovina;ira;1;2014
nigeria;argentina;0;2014
honduras;suica;0;2014
equador;franca;0;2014
portugal;gana;1;2014
estados_unidos;alemanha;0;2014
argelia;russia;0;2014
coreia_do_sul;belgica;0;2014
brasil;chile;1;2014
colombia;uruguai;1;2014
holanda;mexico;1;2014
costa_rica;grecia;1;2014
franca;nigeria;1;2014
alemanha;argelia;1;2014
argentina;suica;1;2014
belgica;estados_unidos;1;2014
franca;alemanha;0;2014
brasil;colombia;1;2014
argentina;belgica;1;2014
holanda;costa_rica;1;2014
brasil;alemanha;0;2014
holanda;argentina;0;2014
brasil;holanda;0;2014
alemanha;argentina;1;2014
