selecao;ataque_idade_min;ataque_idade_max;ataque_idade_mean;ataque_score_min;ataque_score_max;ataque_score_mean;defesa_idade_min;defesa_idade_max;defesa_idade_mean;defesa_score_min;defesa_score_max;defesa_score_mean
belgica;18;34;25.43;71.0;89.0;77.27;20;38;28.35;71.0;88.0;75.67
argentina;21;36;28.22;76.0;93.0;79.88;23;34;29.0;76.0;84.5;79.39
coreia_do_sul;23;36;27.66;66.0;79.5;70.18;23;45;29.91;66.0;77.0;69.73
nigeria;20;34;26.36;65.0;78.5;71.5;21;35;26.88;66.0;81.0;71.19
gana;19;32;24.09;64.0;81.0;72.28;22;29;25.85;64.5;73.5;68.92
costa_do_marfim;21;37;27.12;65.0;85.0;73.3;21;35;27.79;65.0;77.0;70.95
camaroes;19;34;26.84;64.0;81.0;70.97;19;34;27.0;64.0;80.5;71.09
estados_unidos;22;33;27.67;68.0;81.0;72.36;22;36;28.15;68.0;79.0;72.17
mexico;20;39;26.69;69.5;84.5;74.59;20;36;28.44;70.0;79.5;73.18
uruguai;21;38;28.28;69.0;89.0;74.2;20;33;27.45;69.0;84.5;74.22
chile;21;35;27.59;69.0;86.0;74.23;23;35;30.19;69.0;83.0;72.38
brasil;22;35;27.0;77.0;88.5;81.07;21;37;29.06;77.0;87.0;80.53
colombia;22;38;27.25;70.0;89.0;75.65;22;39;27.3;70.0;79.5;74.0
suica;18;33;26.31;67.0;82.0;73.97;21;34;27.57;67.0;83.5;73.81
holanda;20;35;25.97;74.0;90.0;78.8;21;33;26.35;74.0;82.0;77.91
croacia;19;35;25.78;64.5;87.0;73.51;19;36;27.67;64.0;80.0;70.65
inglaterra;20;35;27.58;75.0;86.0;78.95;20;35;27.96;75.0;83.0;78.22
franca;22;34;26.76;77.0;88.0;80.94;21;33;27.77;77.0;85.0;80.25
alemanha;19;37;26.61;77.0;88.0;81.35;22;35;26.5;78.0;90.0;81.33
grecia;19;36;25.58;68.5;79.5;72.6;21;36;27.45;66.5;83.0;72.71
espanha;22;35;27.72;79.0;89.0;82.31;23;34;28.7;79.0;87.5;81.98
italia;21;38;27.74;76.0;86.5;79.36;22;38;30.18;76.0;84.0;79.14
portugal;20;34;25.97;74.5;92.0;78.49;21;37;28.5;74.5;83.0;77.84
russia;22;34;28.09;70.0;81.5;74.72;24;36;29.82;70.0;82.0;74.45
australia;21;35;25.71;64.0;75.5;69.13;23;42;29.41;64.0;78.5;68.31
argelia;18;32;25.21;61.0;84.0;70.09;20;33;26.83;63.0;77.5;69.25
equador;18;32;25.62;53.5;80.0;69.21;23;36;29.17;57.5;70.5;65.79
bosnia_e_herzegovina;20;31;25.68;59.5;84.0;69.32;19;33;25.72;52.0;82.0;67.86
japao;19;35;26.32;58.0;83.0;70.59;24;32;28.0;61.0;76.5;71.25
costa_rica;21;33;26.69;59.0;79.0;68.88;24;34;27.5;59.0;79.0;70.0
honduras;20;31;26.56;62.0;76.0;68.06;19;33;28.0;63.0;73.0;67.8
ira;20;34;26.33;68.5;75.0;71.5;27;28;27.33;64.0;67.5;66.17
