pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;repescagem;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;brasil;41.0;18.0;12.0;5.0;1.0;41.0;11.0;30.0;conmebol;5;12;26;19.2;2;8;5.4;2;6;3.0;8;12;9.6;16;26;21.2;25;38;30.8;-22;-1;-9.6;0.76;0.67;0;2.28;0.61;1.67;0
2.0;uruguai;31.0;18.0;9.0;4.0;5.0;32.0;20.0;12.0;conmebol;5;12;26;19.2;2;8;5.4;2;6;3.0;8;12;9.6;16;26;21.2;25;38;30.8;-22;-1;-9.6;0.57;0.5;0;1.78;1.11;0.67;0
3.0;argentina;28.0;18.0;7.0;7.0;4.0;19.0;16.0;3.0;conmebol;5;12;26;19.2;2;8;5.4;2;6;3.0;8;12;9.6;16;26;21.2;25;38;30.8;-22;-1;-9.6;0.52;0.39;0;1.06;0.89;0.17;0
4.0;colombia;27.0;18.0;7.0;6.0;5.0;21.0;19.0;2.0;conmebol;5;12;26;19.2;2;8;5.4;2;6;3.0;8;12;9.6;16;26;21.2;25;38;30.8;-22;-1;-9.6;0.5;0.39;0;1.17;1.06;0.11;0
5.0;peru;26.0;18.0;7.0;5.0;6.0;27.0;26.0;1.0;conmebol;5;12;26;19.2;2;8;5.4;2;6;3.0;8;12;9.6;16;26;21.2;25;38;30.8;-22;-1;-9.6;0.48;0.39;1;1.5;1.44;0.06;0
1.0;mexico;21.0;10.0;6.0;3.0;1.0;16.0;7.0;9.0;concacaf;3;6;13;10.33;2;3;2.67;0;4;2.33;3;8;5.0;7;17;12.33;13;19;17.0;-12;4;-4.67;0.7;0.6;0;1.6;0.7;0.9;0
2.0;costa_rica;16.0;10.0;4.0;4.0;2.0;14.0;8.0;6.0;concacaf;3;6;13;10.33;2;3;2.67;0;4;2.33;3;8;5.0;7;17;12.33;13;19;17.0;-12;4;-4.67;0.53;0.4;0;1.4;0.8;0.6;0
3.0;panama;13.0;10.0;3.0;4.0;3.0;9.0;10.0;-1.0;concacaf;3;6;13;10.33;2;3;2.67;0;4;2.33;3;8;5.0;7;17;12.33;13;19;17.0;-12;4;-4.67;0.43;0.3;0;0.9;1.0;-0.1;0
1.0;franca;23.0;10.0;7.0;2.0;1.0;18.0;6.0;12.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.77;0.7;0;1.8;0.6;1.2;0
2.0;suecia;19.0;10.0;6.0;1.0;3.0;26.0;9.0;17.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.63;0.6;0;2.6;0.9;1.7;0
1.0;portugal;27.0;10.0;9.0;0.0;1.0;32.0;4.0;28.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.9;0.9;0;3.2;0.4;2.8;0
2.0;suica;27.0;10.0;9.0;0.0;1.0;23.0;7.0;16.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.9;0.9;0;2.3;0.7;1.6;0
1.0;alemanha;30.0;10.0;10.0;0.0;0.0;43.0;4.0;39.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;1.0;1.0;0;4.3;0.4;3.9;0
1.0;servia;21.0;10.0;6.0;3.0;1.0;20.0;10.0;10.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.7;0.6;0;2.0;1.0;1.0;0
1.0;polonia;25.0;10.0;8.0;1.0;1.0;28.0;14.0;14.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.83;0.8;0;2.8;1.4;1.4;0
2.0;dinamarca;20.0;10.0;6.0;2.0;2.0;20.0;8.0;12.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.67;0.6;0;2.0;0.8;1.2;0
1.0;inglaterra;26.0;10.0;8.0;2.0;0.0;18.0;3.0;15.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.87;0.8;0;1.8;0.3;1.5;0
1.0;espanha;28.0;10.0;9.0;1.0;0.0;36.0;3.0;33.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.93;0.9;0;3.6;0.3;3.3;0
1.0;belgica;28.0;10.0;9.0;1.0;0.0;43.0;6.0;37.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.93;0.9;0;4.3;0.6;3.7;0
1.0;islandia;22.0;10.0;7.0;1.0;2.0;16.0;7.0;9.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.73;0.7;0;1.6;0.7;0.9;0
2.0;croacia;20.0;10.0;6.0;2.0;2.0;15.0;4.0;11.0;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.67;0.6;0;1.5;0.4;1.1;0
1.68;russia;21.94;10.65;6.48;2.52;1.65;20.61;8.35;12.26;uefa;41;0;23;10.88;0;7;2.98;0;5;1.95;1;10;5.07;1;24;11.12;6;51;17.29;-49;13;-6.17;0.7;0.63;0;1.97;0.74;1.23;1
