pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;classif;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;Brasil;45.0;17.0;14.0;3.0;0.0;40.0;5.0;35.0;direta;conmebol;6;10;24;17.83;3;7;4.5;1;8;4.33;5;14;9.17;12;23;17.83;19;42;28.17;-20;1;-10.33;0.88;0.82;2.35;0.29;2.06;0
2.0;Argentina;39.0;17.0;11.0;6.0;0.0;27.0;8.0;19.0;direta;conmebol;6;10;24;17.83;3;7;4.5;1;8;4.33;5;14;9.17;12;23;17.83;19;42;28.17;-20;1;-10.33;0.76;0.65;1.59;0.47;1.12;0
3.0;Uruguai;28.0;18.0;8.0;4.0;6.0;22.0;22.0;0.0;direta;conmebol;6;10;24;17.83;3;7;4.5;1;8;4.33;5;14;9.17;12;23;17.83;19;42;28.17;-20;1;-10.33;0.52;0.44;1.22;1.22;0.0;0
4.0;Equador;26.0;18.0;7.0;5.0;6.0;27.0;19.0;8.0;direta;conmebol;6;10;24;17.83;3;7;4.5;1;8;4.33;5;14;9.17;12;23;17.83;19;42;28.17;-20;1;-10.33;0.48;0.39;1.5;1.06;0.44;0
1.0;Canadá;28.0;14.0;8.0;4.0;2.0;23.0;7.0;16.0;direta;concacaf;4;4;21;11.5;0;6;2.5;3;5;4.0;5;10;7.75;7;17;11.0;18;26;21.25;-19;-2;-10.25;0.67;0.57;1.64;0.5;1.14;0
2.0;México;28.0;14.0;8.0;4.0;2.0;17.0;8.0;9.0;direta;concacaf;4;4;21;11.5;0;6;2.5;3;5;4.0;5;10;7.75;7;17;11.0;18;26;21.25;-19;-2;-10.25;0.67;0.57;1.21;0.57;0.64;0
3.0;Estados Unidos;25.0;14.0;7.0;4.0;3.0;21.0;10.0;11.0;direta;concacaf;4;4;21;11.5;0;6;2.5;3;5;4.0;5;10;7.75;7;17;11.0;18;26;21.25;-19;-2;-10.25;0.6;0.5;1.5;0.71;0.79;0
4.0;Costa Rica;25.0;14.0;7.0;4.0;3.0;13.0;8.0;5.0;repescagem;concacaf;4;4;21;11.5;0;6;2.5;3;5;4.0;5;10;7.75;7;17;11.0;18;26;21.25;-19;-2;-10.25;0.6;0.5;0.93;0.57;0.36;0
1.0;Sérvia;20.0;8.0;6.0;2.0;0.0;18.0;9.0;9.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.83;0.75;2.25;1.12;1.12;0
2.0;Portugal;17.0;8.0;5.0;2.0;1.0;17.0;6.0;11.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.71;0.62;2.12;0.75;1.38;0
