home_team_win;ano;home_ataque_idade_min;home_ataque_idade_max;home_ataque_idade_mean;home_ataque_score_min;home_ataque_score_max;home_ataque_score_mean;home_defesa_idade_min;home_defesa_idade_max;home_defesa_idade_mean;home_defesa_score_min;home_defesa_score_max;home_defesa_score_mean;home_pos_elim;home_pts;home_j;home_v;home_e;home_d;home_gp;home_gc;home_sg;home_desclassif_qtd;home_desclassif_pts_min;home_desclassif_pts_max;home_desclassif_pts_mean;home_desclassif_v_min;home_desclassif_v_max;home_desclassif_v_mean;home_desclassif_e_min;home_desclassif_e_max;home_desclassif_e_mean;home_desclassif_d_min;home_desclassif_d_max;home_desclassif_d_mean;home_desclassif_gp_min;home_desclassif_gp_max;home_desclassif_gp_mean;home_desclassif_gc_min;home_desclassif_gc_max;home_desclassif_gc_mean;home_desclassif_sg_min;home_desclassif_sg_max;home_desclassif_sg_mean;home_aprov;home_perc_v;home_repescagem;home_gp_por_jogo;home_gc_por_jogo;home_sg_por_jogo;home_sede;away_ataque_idade_min;away_ataque_idade_max;away_ataque_idade_mean;away_ataque_score_min;away_ataque_score_max;away_ataque_score_mean;away_defesa_idade_min;away_defesa_idade_max;away_defesa_idade_mean;away_defesa_score_min;away_defesa_score_max;away_defesa_score_mean;away_pos_elim;away_pts;away_j;away_v;away_e;away_d;away_gp;away_gc;away_sg;away_desclassif_qtd;away_desclassif_pts_min;away_desclassif_pts_max;away_desclassif_pts_mean;away_desclassif_v_min;away_desclassif_v_max;away_desclassif_v_mean;away_desclassif_e_min;away_desclassif_e_max;away_desclassif_e_mean;away_desclassif_d_min;away_desclassif_d_max;away_desclassif_d_mean;away_desclassif_gp_min;away_desclassif_gp_max;away_desclassif_gp_mean;away_desclassif_gc_min;away_desclassif_gc_max;away_desclassif_gc_mean;away_desclassif_sg_min;away_desclassif_sg_max;away_desclassif_sg_mean;away_aprov;away_perc_v;away_repescagem;away_gp_por_jogo;away_gc_por_jogo;away_sg_por_jogo;away_sede;home_team_label;away_team_label;home_conf_cont_label;away_conf_cont_label
1;2006;21;34;26;77;89;82;21;37;28;76;90;81;1;22;10;6;2;1;19;7;12;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;1;0;1;1;19;28;23;58;77;65;23;29;26;62;73;66;3;16;10;5;1;4;15;14;1;2;2;11;6;0;3;1;2;2;2;5;8;6;4;16;10;18;21;19;-17;-2;-9;0;0;0;1;1;0;0;1;17;17;17
0;2006;20;36;26;68;80;72;19;36;28;67;82;73;2;24;10;8;0;2;27;9;18;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;2;0;1;0;20;34;26;64;82;72;24;32;26;59;78;68;3;28;18;8;4;6;23;19;4;6;14;25;20;4;6;5;2;7;5;5;12;7;18;24;20;16;37;26;-17;8;-5;0;0;0;1;1;0;0;44;21;21;21
1;2006;19;34;25;77;92;82;20;36;26;77;90;83;1;25;10;8;1;1;17;5;12;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;1;0;1;0;18;35;24;63;84;76;18;33;26;63;82;73;4;28;18;8;4;6;23;23;0;6;14;25;20;4;6;5;2;7;5;5;12;7;18;24;20;16;37;26;-17;8;-5;0;0;0;1;1;0;0;31;42;42;42
0;2006;21;29;24;53;73;63;29;38;32;55;72;66;4;13;10;4;1;5;10;15;-5;2;2;11;6;0;3;1;2;2;2;5;8;6;4;16;10;18;21;19;-17;-2;-9;0;0;1;1;1;0;0;20;34;27;66;88;73;21;40;27;66;86;73;2;24;10;8;0;2;30;4;26;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;3;0;2;0;54;51;51;51
1;2006;19;33;26;77;89;82;21;34;27;77;90;82;2;34;18;10;4;4;29;17;12;6;14;25;20;4;6;5;2;7;5;5;12;7;18;24;20;16;37;26;-17;8;-5;0;0;0;1;0;0;0;19;29;23;47;88;69;20;31;24;55;85;71;1;22;10;7;1;2;20;7;13;25;4;21;12;1;6;3;0;5;2;0;8;4;3;26;12;7;27;14;-24;14;-2;0;0;0;2;0;1;0;5;16;16;16
0;2006;21;34;26;67;87;76;17;34;26;66;85;74;1;22;10;6;4;0;16;1;15;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;1;0;1;0;19;36;26;73;88;81;18;39;28;73;89;79;1;32;12;10;2;0;27;3;24;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;2;0;2;0;50;29;29;29
1;2006;19;33;26;71;82;76;21;37;27;71;87;76;1;22;10;7;1;2;22;9;13;2;2;11;6;0;3;1;2;2;2;5;8;6;4;16;10;18;21;19;-17;-2;-9;0;0;0;2;0;1;0;23;30;26;66;81;73;27;27;27;80;80;80;2;13;6;4;1;1;7;3;4;4;3;5;4;1;1;1;0;2;1;3;5;4;4;7;5;7;13;10;-9;-3;-5;0;0;0;1;0;0;0;37;32;32;32
0;2006;20;29;24;60;76;69;27;33;30;61;76;69;1;21;10;6;3;1;12;6;6;25;4;21;12;1;6;3;0;5;2;0;8;4;3;26;12;7;27;14;-24;14;-2;0;0;0;1;0;0;0;20;33;26;72;89;79;19;37;28;70;86;78;1;30;12;9;3;0;35;5;30;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;2;0;2;0;2;45;45;45
1;2006;21;34;27;57;86;71;19;36;26;57;82;68;1;13;5;4;1;0;21;3;18;5;3;10;6;1;3;1;0;1;0;1;4;2;2;17;7;5;24;10;-22;12;-3;0;0;1;4;0;3;0;18;27;23;65;78;71;25;28;26;75;82;78;1;15;6;5;0;1;9;4;5;4;3;5;4;1;1;1;0;2;1;3;5;4;4;7;5;7;13;10;-9;-3;-5;0;0;0;1;0;0;0;6;35;35;35
0;2006;21;36;27;67;82;73;17;36;28;65;85;74;2;22;10;7;1;2;16;6;10;2;2;11;6;0;3;1;2;2;2;5;8;6;4;16;10;18;21;19;-17;-2;-9;0;0;0;1;0;1;0;21;33;27;66;85;74;24;36;28;67;90;75;2;27;12;9;0;3;35;12;23;38;0;25;11;0;8;3;0;6;2;0;12;5;1;24;12;5;48;18;-43;16;-5;0;0;0;2;1;1;0;25;47;47;47
