home_team_name;home_team_label;away_team_name;away_team_label;home_conf_cont;home_conf_cont_label;away_conf_cont;away_conf_cont_label
alemanha;1;costa_rica;17;"21    uefa
Name: conf_cont, dtype: object";17;"6    concacaf
Name: conf_cont, dtype: object";17
polonia;44;equador;21;"16    uefa
Name: conf_cont, dtype: object";21;"2    conmebol
Name: conf_cont, dtype: object";21
inglaterra;31;paraguai;42;"15    uefa
Name: conf_cont, dtype: object";42;"3    conmebol
Name: conf_cont, dtype: object";42
trindade_e_tobago;54;suecia;51;"7    concacaf
Name: conf_cont, dtype: object";51;"20    uefa
Name: conf_cont, dtype: object";51
argentina;5;costa_do_marfim;16;"1    conmebol
Name: conf_cont, dtype: object";16;"24    caf
Name: conf_cont, dtype: object";16
servia;50;holanda;29;"17    uefa
Name: conf_cont, dtype: object";29;"8    uefa
Name: conf_cont, dtype: object";29
mexico;37;ira;32;"4    concacaf
Name: conf_cont, dtype: object";32;"30    afc
Name: conf_cont, dtype: object";32
angola;2;portugal;45;"25    caf
Name: conf_cont, dtype: object";45;"11    uefa
Name: conf_cont, dtype: object";45
australia;6;japao;35;"31    ofc
Name: conf_cont, dtype: object";35;"29    afc
Name: conf_cont, dtype: object";35
estados_unidos;25;republica_tcheca;47;"5    concacaf
Name: conf_cont, dtype: object";47;"9    uefa
Name: conf_cont, dtype: object";47
italia;34;gana;27;"14    uefa
Name: conf_cont, dtype: object";27;"23    caf
Name: conf_cont, dtype: object";27
coreia_do_sul;15;togo;53;"28    afc
Name: conf_cont, dtype: object";53;"22    caf
Name: conf_cont, dtype: object";53
franca;26;suica;52;"12    uefa
Name: conf_cont, dtype: object";52;"13    uefa
Name: conf_cont, dtype: object";52
brasil;9;croacia;18;"0    conmebol
Name: conf_cont, dtype: object";18;"19    uefa
Name: conf_cont, dtype: object";18
espanha;24;ucrania;56;"18    uefa
Name: conf_cont, dtype: object";56;"10    uefa
Name: conf_cont, dtype: object";56
tunisia;55;arabia_saudita;3;"26    caf
Name: conf_cont, dtype: object";3;"27    afc
Name: conf_cont, dtype: object";3
alemanha;1;polonia;44;"21    uefa
Name: conf_cont, dtype: object";44;"16    uefa
Name: conf_cont, dtype: object";44
equador;21;costa_rica;17;"2    conmebol
Name: conf_cont, dtype: object";17;"6    concacaf
Name: conf_cont, dtype: object";17
inglaterra;31;trindade_e_tobago;54;"15    uefa
Name: conf_cont, dtype: object";54;"7    concacaf
Name: conf_cont, dtype: object";54
suecia;51;paraguai;42;"20    uefa
Name: conf_cont, dtype: object";42;"3    conmebol
Name: conf_cont, dtype: object";42
argentina;5;servia;50;"1    conmebol
Name: conf_cont, dtype: object";50;"17    uefa
Name: conf_cont, dtype: object";50
holanda;29;costa_do_marfim;16;"8    uefa
Name: conf_cont, dtype: object";16;"24    caf
Name: conf_cont, dtype: object";16
mexico;37;angola;2;"4    concacaf
Name: conf_cont, dtype: object";2;"25    caf
Name: conf_cont, dtype: object";2
portugal;45;ira;32;"11    uefa
Name: conf_cont, dtype: object";32;"30    afc
Name: conf_cont, dtype: object";32
republica_tcheca;47;gana;27;"9    uefa
Name: conf_cont, dtype: object";27;"23    caf
Name: conf_cont, dtype: object";27
italia;34;estados_unidos;25;"14    uefa
Name: conf_cont, dtype: object";25;"5    concacaf
Name: conf_cont, dtype: object";25
japao;35;croacia;18;"29    afc
Name: conf_cont, dtype: object";18;"19    uefa
Name: conf_cont, dtype: object";18
brasil;9;australia;6;"0    conmebol
Name: conf_cont, dtype: object";6;"31    ofc
Name: conf_cont, dtype: object";6
franca;26;coreia_do_sul;15;"12    uefa
Name: conf_cont, dtype: object";15;"28    afc
Name: conf_cont, dtype: object";15
togo;53;suica;52;"22    caf
Name: conf_cont, dtype: object";52;"13    uefa
Name: conf_cont, dtype: object";52
arabia_saudita;3;ucrania;56;"27    afc
Name: conf_cont, dtype: object";56;"10    uefa
Name: conf_cont, dtype: object";56
espanha;24;tunisia;55;"18    uefa
Name: conf_cont, dtype: object";55;"26    caf
Name: conf_cont, dtype: object";55
costa_rica;17;polonia;44;"6    concacaf
Name: conf_cont, dtype: object";44;"16    uefa
Name: conf_cont, dtype: object";44
equador;21;alemanha;1;"2    conmebol
Name: conf_cont, dtype: object";1;"21    uefa
Name: conf_cont, dtype: object";1
paraguai;42;trindade_e_tobago;54;"3    conmebol
Name: conf_cont, dtype: object";54;"7    concacaf
Name: conf_cont, dtype: object";54
suecia;51;inglaterra;31;"20    uefa
Name: conf_cont, dtype: object";31;"15    uefa
Name: conf_cont, dtype: object";31
ira;32;angola;2;"30    afc
Name: conf_cont, dtype: object";2;"25    caf
Name: conf_cont, dtype: object";2
portugal;45;mexico;37;"11    uefa
Name: conf_cont, dtype: object";37;"4    concacaf
Name: conf_cont, dtype: object";37
costa_do_marfim;16;servia;50;"24    caf
Name: conf_cont, dtype: object";50;"17    uefa
Name: conf_cont, dtype: object";50
holanda;29;argentina;5;"8    uefa
Name: conf_cont, dtype: object";5;"1    conmebol
Name: conf_cont, dtype: object";5
republica_tcheca;47;italia;34;"9    uefa
Name: conf_cont, dtype: object";34;"14    uefa
Name: conf_cont, dtype: object";34
gana;27;estados_unidos;25;"23    caf
Name: conf_cont, dtype: object";25;"5    concacaf
Name: conf_cont, dtype: object";25
croacia;18;australia;6;"19    uefa
Name: conf_cont, dtype: object";6;"31    ofc
Name: conf_cont, dtype: object";6
