pos_elim;selecao;j;v;e;d;gp;gc;pts;conf_cont;sg
2;senegal;10;6;3;1;21;8;21;caf;13
3;zambia;10;6;1;3;16;10;19;caf;6
4;congo;10;3;1;6;10;14;10;caf;-4
5;mali;10;2;2;6;11;14;8;caf;-3
6;liberia;10;1;1;8;3;27;4;caf;-24
2;r.d._congo;10;4;4;2;14;10;16;caf;4
3;africa_do_sul;10;5;1;4;12;14;16;caf;-2
4;burkina_fasso;10;4;1;5;14;13;13;caf;1
5;cabo_verde;10;3;1;6;8;15;10;caf;-7
6;uganda;10;2;2;6;6;15;8;caf;-9
2;camaroes;10;6;3;1;18;18;21;caf;0
3;egito;10;5;2;3;26;15;17;caf;11
4;libia;10;3;3;4;8;10;12;caf;-2
5;sudao;10;1;3;6;6;22;6;caf;-16
6;benin;10;1;2;7;9;23;5;caf;-14
2;nigeria;10;6;3;1;21;7;21;caf;14
3;zimbabue;10;4;3;3;13;14;15;caf;-1
4;gabao;10;2;4;4;11;13;10;caf;-2
5;argelia;10;1;5;4;8;15;8;caf;-7
6;ruanda;10;1;2;7;6;16;5;caf;-10
2;marrocos;10;5;5;0;17;7;20;caf;10
3;guine;10;5;2;3;15;10;17;caf;5
4;quenia;10;3;1;6;8;17;10;caf;-9
5;botsuana;10;3;0;7;10;18;9;caf;-8
6;malaui;10;1;3;6;12;26;6;caf;-14
