home_team_name;away_team_name;home_team_win
alemanha;costa_rica;1
polonia;equador;0
inglaterra;paraguai;1
trindade_e_tobago;suecia;0
argentina;costa_do_marfim;1
servia;holanda;0
mexico;ira;1
angola;portugal;0
australia;japao;1
estados_unidos;republica_tcheca;0
italia;gana;1
coreia_do_sul;togo;1
franca;suica;0
brasil;croacia;1
espanha;ucrania;1
tunisia;arabia_saudita;0
alemanha;polonia;1
equador;costa_rica;1
inglaterra;trindade_e_tobago;1
suecia;paraguai;1
argentina;servia;1
holanda;costa_do_marfim;1
mexico;angola;0
portugal;ira;1
republica_tcheca;gana;0
italia;estados_unidos;0
japao;croacia;0
brasil;australia;1
franca;coreia_do_sul;0
togo;suica;0
arabia_saudita;ucrania;0
espanha;tunisia;1
costa_rica;polonia;0
equador;alemanha;0
paraguai;trindade_e_tobago;1
suecia;inglaterra;0
ira;angola;0
portugal;mexico;1
costa_do_marfim;servia;1
holanda;argentina;0
republica_tcheca;italia;0
gana;estados_unidos;1
croacia;australia;0
japao;brasil;0
arabia_saudita;espanha;0
ucrania;tunisia;1
suica;coreia_do_sul;1
togo;franca;0
alemanha;suecia;1
argentina;mexico;1
inglaterra;equador;1
portugal;holanda;1
italia;australia;1
suica;ucrania;0
brasil;gana;1
espanha;franca;0
alemanha;argentina;1
italia;ucrania;1
inglaterra;portugal;0
brasil;franca;0
alemanha;italia;0
portugal;franca;0
alemanha;portugal;1
italia;franca;1
