pos_elim;selecao;j;v;e;d;gp;gc;pts;conf_cont;sg
1.0;holanda;12.0;10.0;2.0;0.0;27.0;3.0;32.0;uefa;24.0
2.0;republica_tcheca;12.0;9.0;0.0;3.0;35.0;12.0;27.0;uefa;23.0
1.0;ucrania;12.0;7.0;4.0;1.0;18.0;7.0;25.0;uefa;11.0
1.0;portugal;12.0;9.0;3.0;0.0;35.0;5.0;30.0;uefa;30.0
1.0;franca;10.0;5.0;5.0;0.0;14.0;2.0;20.0;uefa;12.0
2.0;suica;10.0;4.0;6.0;0.0;18.0;7.0;18.0;uefa;11.0
1.0;italia;10.0;7.0;2.0;1.0;17.0;8.0;23.0;uefa;9.0
1.0;inglaterra;10.0;8.0;1.0;1.0;17.0;5.0;25.0;uefa;12.0
2.0;polonia;10.0;8.0;0.0;2.0;27.0;9.0;24.0;uefa;18.0
1.0;servia;10.0;6.0;4.0;0.0;16.0;1.0;22.0;uefa;15.0
2.0;espanha;10.0;5.0;5.0;0.0;19.0;3.0;20.0;uefa;16.0
1.0;croacia;10.0;7.0;3.0;0.0;21.0;5.0;24.0;uefa;16.0
2.0;suecia;10.0;8.0;0.0;2.0;30.0;4.0;24.0;uefa;26.0
;alemanha;;;;;;;;uefa;
