pos_elim;selecao;j;v;e;d;gp;gc;pts;conf_cont;sg
3;romenia;12;8;1;3;20;10;25;uefa;10
4;finlandia;12;5;1;6;21;19;16;uefa;2
5;macedonia_do_norte;12;2;3;7;11;24;9;uefa;-13
6;armenia;12;2;1;9;9;25;7;uefa;-16
7;andorra;12;1;2;10;4;34;5;uefa;-30
2;turquia;12;6;5;1;23;9;23;uefa;14
3;dinamarca;12;6;4;2;24;12;22;uefa;12
4;grecia;12;6;3;3;15;9;21;uefa;6
5;albania;12;4;1;7;11;20;13;uefa;-9
6;georgia;12;2;4;6;14;25;10;uefa;-11
7;cazaquistao;12;0;1;11;6;29;1;uefa;-23
2;eslovaquia;12;6;5;1;24;8;23;uefa;16
3;russia;12;6;5;1;23;12;23;uefa;11
4;estonia;12;5;2;5;16;17;17;uefa;-1
5;letonia;12;4;3;5;18;21;15;uefa;-3
6;liechtenstein;12;2;2;8;13;23;8;uefa;-10
7;luxemburgo;12;0;0;12;5;48;0;uefa;-43
3;israel;10;4;6;0;15;10;18;uefa;5
4;irlanda;10;4;5;1;12;5;17;uefa;7
5;chipre;10;1;1;8;8;20;4;uefa;-12
6;ilhas_faroe;10;0;1;9;4;27;1;uefa;-23
2;noruega;10;5;3;2;12;7;18;uefa;5
3;escocia;10;3;4;3;9;7;13;uefa;2
4;eslovenia;10;3;3;4;10;13;12;uefa;-3
5;bielorrussia;10;2;4;4;12;14;10;uefa;-2
6;moldavia;10;1;2;7;5;16;5;uefa;-11
3;austria;10;4;3;3;15;12;15;uefa;3
4;irlanda_do_norte;10;2;3;5;10;18;9;uefa;-8
5;pais_de_gales;10;2;2;6;10;15;8;uefa;-5
6;azerbaijao;10;0;3;7;1;21;3;uefa;-20
3;bosnia_e_herzegovina;10;4;4;2;12;9;16;uefa;3
4;belgica;10;3;3;4;16;11;12;uefa;5
5;lituania;10;2;4;4;8;9;10;uefa;-1
6;san_marino;10;0;0;10;2;40;0;uefa;-38
3;bulgaria;10;4;3;3;17;17;15;uefa;0
4;hungria;10;4;2;4;13;14;14;uefa;-1
5;islandia;10;1;1;8;14;27;4;uefa;-13
6;malta;10;0;3;7;4;32;3;uefa;-28
