idade;selecao;score;funcao
24;belgica;89.0;ataque
23;belgica;88.0;defesa
29;belgica;86.0;defesa
24;belgica;86.5;ataque
28;belgica;83.5;ataque
28;belgica;82.0;defesa
24;belgica;82.5;ataque
27;belgica;82.5;ataque
22;belgica;83.0;ataque
26;belgica;82.5;ataque
27;belgica;80.0;defesa
27;belgica;80.0;ataque
28;belgica;79.0;ataque
29;belgica;79.0;defesa
22;belgica;81.0;ataque
26;belgica;80.0;defesa
22;belgica;81.0;ataque
26;belgica;78.5;ataque
27;belgica;77.0;ataque
30;belgica;77.0;defesa
21;belgica;78.5;ataque
27;belgica;76.5;ataque
20;belgica;80.0;ataque
20;belgica;80.5;ataque
21;belgica;78.5;ataque
23;belgica;78.5;ataque
30;belgica;75.0;defesa
18;belgica;81.0;ataque
30;belgica;74.0;ataque
32;belgica;74.0;defesa
21;belgica;77.0;ataque
23;belgica;75.5;defesa
23;belgica;76.0;ataque
26;belgica;74.0;ataque
26;belgica;74.0;ataque
31;belgica;73.0;ataque
32;belgica;73.0;ataque
22;belgica;75.0;defesa
20;belgica;77.0;defesa
28;belgica;72.0;ataque
24;belgica;73.5;defesa
26;belgica;72.0;ataque
26;belgica;73.5;ataque
28;belgica;72.0;defesa
31;belgica;72.0;ataque
27;belgica;72.5;defesa
36;belgica;72.0;defesa
31;belgica;72.0;defesa
34;belgica;72.0;defesa
38;belgica;72.0;defesa
24;belgica;73.0;ataque
26;belgica;71.5;defesa
27;belgica;71.5;ataque
34;belgica;71.0;ataque
30;belgica;71.0;defesa
29;belgica;71.0;ataque
36;belgica;71.0;defesa
26;belgica;71.0;ataque
24;belgica;71.5;ataque
23;belgica;72.5;defesa
29;bosnia_e_herzegovina;83.0;ataque
25;bosnia_e_herzegovina;84.0;ataque
28;bosnia_e_herzegovina;82.0;defesa
29;bosnia_e_herzegovina;77.0;ataque
31;bosnia_e_herzegovina;77.0;ataque
25;bosnia_e_herzegovina;76.5;defesa
27;bosnia_e_herzegovina;74.0;ataque
22;bosnia_e_herzegovina;77.0;defesa
23;bosnia_e_herzegovina;77.5;defesa
24;bosnia_e_herzegovina;75.5;ataque
30;bosnia_e_herzegovina;73.0;ataque
31;bosnia_e_herzegovina;72.0;defesa
25;bosnia_e_herzegovina;73.0;ataque
28;bosnia_e_herzegovina;72.5;defesa
26;bosnia_e_herzegovina;72.0;defesa
28;bosnia_e_herzegovina;69.5;defesa
29;bosnia_e_herzegovina;69.0;ataque
26;bosnia_e_herzegovina;71.0;ataque
27;bosnia_e_herzegovina;67.5;defesa
28;bosnia_e_herzegovina;68.0;ataque
21;bosnia_e_herzegovina;68.5;ataque
25;bosnia_e_herzegovina;69.0;ataque
26;bosnia_e_herzegovina;67.0;ataque
29;bosnia_e_herzegovina;66.0;ataque
27;bosnia_e_herzegovina;66.5;ataque
22;bosnia_e_herzegovina;69.0;ataque
22;bosnia_e_herzegovina;68.0;ataque
21;bosnia_e_herzegovina;66.5;ataque
30;bosnia_e_herzegovina;64.0;ataque
28;bosnia_e_herzegovina;66.0;ataque
21;bosnia_e_herzegovina;67.0;ataque
25;bosnia_e_herzegovina;66.0;defesa
29;bosnia_e_herzegovina;63.0;defesa
33;bosnia_e_herzegovina;63.0;defesa
28;bosnia_e_herzegovina;62.0;ataque
21;bosnia_e_herzegovina;65.0;ataque
25;bosnia_e_herzegovina;63.5;ataque
23;bosnia_e_herzegovina;64.0;ataque
24;bosnia_e_herzegovina;62.5;defesa
22;bosnia_e_herzegovina;65.0;defesa
25;bosnia_e_herzegovina;61.5;defesa
20;bosnia_e_herzegovina;65.0;ataque
20;bosnia_e_herzegovina;63.0;defesa
27;bosnia_e_herzegovina;59.5;ataque
19;bosnia_e_herzegovina;59.0;defesa
28;bosnia_e_herzegovina;52.0;defesa
30;croacia;87.0;ataque
29;croacia;83.0;ataque
27;croacia;83.5;ataque
30;croacia;80.0;defesa
26;croacia;80.0;defesa
29;croacia;79.0;defesa
26;croacia;80.5;ataque
33;croacia;79.0;defesa
35;croacia;78.0;ataque
26;croacia;77.5;ataque
21;croacia;81.0;ataque
31;croacia;75.0;ataque
30;croacia;74.0;defesa
33;croacia;74.0;ataque
36;croacia;74.0;defesa
24;croacia;77.0;ataque
30;croacia;73.0;ataque
28;croacia;74.0;ataque
23;croacia;76.5;ataque
31;croacia;72.0;ataque
34;croacia;72.0;ataque
26;croacia;72.0;ataque
28;croacia;73.0;ataque
27;croacia;72.5;ataque
20;croacia;75.0;ataque
23;croacia;73.0;defesa
22;croacia;75.0;ataque
19;croacia;77.0;ataque
19;croacia;75.0;defesa
22;croacia;74.0;ataque
31;croacia;69.0;ataque
24;croacia;72.0;defesa
25;croacia;71.5;ataque
27;croacia;70.5;defesa
20;croacia;72.0;ataque
26;croacia;70.5;defesa
21;croacia;71.0;defesa
27;croacia;67.5;defesa
31;croacia;67.0;defesa
21;croacia;72.0;ataque
23;croacia;69.5;defesa
23;croacia;70.0;defesa
29;croacia;66.0;defesa
25;croacia;69.0;ataque
29;croacia;66.0;defesa
32;croacia;65.0;defesa
22;croacia;70.0;ataque
24;croacia;66.5;ataque
26;croacia;66.5;ataque
24;croacia;69.0;ataque
36;croacia;65.0;defesa
30;croacia;65.0;defesa
23;croacia;68.0;ataque
19;croacia;72.0;ataque
27;croacia;64.5;ataque
22;croacia;68.5;defesa
25;croacia;66.0;ataque
29;croacia;64.0;defesa
24;croacia;68.0;ataque
29;croacia;64.0;defesa
29;inglaterra;86.0;ataque
26;inglaterra;84.5;ataque
28;inglaterra;83.0;defesa
34;inglaterra;83.0;defesa
23;inglaterra;82.5;ataque
29;inglaterra;81.0;defesa
30;inglaterra;81.0;defesa
35;inglaterra;81.0;ataque
20;inglaterra;83.0;ataque
27;inglaterra;80.5;ataque
26;inglaterra;81.0;ataque
33;inglaterra;80.0;defesa
32;inglaterra;80.0;ataque
25;inglaterra;81.5;ataque
29;inglaterra;79.0;ataque
34;inglaterra;79.0;ataque
34;inglaterra;79.0;defesa
22;inglaterra;81.0;ataque
21;inglaterra;82.0;ataque
22;inglaterra;81.0;ataque
23;inglaterra;80.0;defesa
25;inglaterra;80.5;defesa
24;inglaterra;80.5;ataque
27;inglaterra;78.0;defesa
32;inglaterra;78.0;defesa
30;inglaterra;78.0;ataque
28;inglaterra;78.0;ataque
33;inglaterra;78.0;defesa
26;inglaterra;79.0;ataque
25;inglaterra;79.0;defesa
25;inglaterra;78.0;defesa
26;inglaterra;78.5;ataque
28;inglaterra;77.0;ataque
24;inglaterra;78.0;defesa
24;inglaterra;79.0;ataque
25;inglaterra;78.0;ataque
26;inglaterra;77.0;ataque
28;inglaterra;76.0;defesa
34;inglaterra;76.0;ataque
28;inglaterra;76.0;defesa
35;inglaterra;76.0;defesa
31;inglaterra;76.0;ataque
34;inglaterra;76.0;ataque
34;inglaterra;76.0;defesa
33;inglaterra;76.0;ataque
34;inglaterra;76.0;ataque
20;inglaterra;80.5;defesa
21;inglaterra;78.5;defesa
23;inglaterra;77.0;defesa
26;inglaterra;76.5;ataque
25;inglaterra;77.5;defesa
27;inglaterra;75.0;defesa
26;inglaterra;77.0;ataque
27;inglaterra;76.0;defesa
26;inglaterra;77.0;defesa
27;inglaterra;75.0;ataque
30;inglaterra;75.0;defesa
29;inglaterra;75.0;ataque
29;inglaterra;75.0;defesa
28;inglaterra;75.0;ataque
32;franca;88.0;ataque
28;franca;85.0;defesa
27;franca;86.0;ataque
22;franca;87.5;ataque
28;franca;84.0;ataque
28;franca;84.0;ataque
28;franca;83.5;defesa
24;franca;85.0;ataque
24;franca;84.0;ataque
30;franca;82.0;defesa
30;franca;82.0;defesa
32;franca;82.0;ataque
