pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
2;rd_congo;13;6;4;1;1;14;7;5;caf
3;libia;4;6;1;1;4;4;10;-6;caf
4;guine;3;6;1;0;5;5;13;-8;caf
2;zambia;8;6;2;2;2;8;7;1;caf
3;camaroes;7;6;1;4;1;7;9;-2;caf
4;argelia;4;6;0;2;4;6;10;-4;caf
2;costa_do_marfim;8;6;2;2;2;7;5;2;caf
3;gabao;5;6;1;3;2;2;7;-5;caf
4;mali;4;6;0;4;2;1;9;-8;caf
2;burquina_fasso;9;6;2;3;1;10;6;4;caf
3;cabo_verde;6;6;2;0;4;4;12;-8;caf
4;africa_do_sul;4;6;1;1;4;7;10;-3;caf
2;uganda;9;6;2;3;1;3;2;1;caf
3;gana;7;6;1;4;1;7;5;2;caf
4;congo;2;6;0;2;4;5;12;-7;caf
