home_team_name;away_team_name;home_team_win;ano
russia;arabia_saudita;1;2018
egito;uruguai;0;2018
marrocos;ira;0;2018
portugal;espanha;0;2018
franca;australia;1;2018
argentina;islandia;0;2018
peru;dinamarca;0;2018
croacia;nigeria;1;2018
costa_rica;servia;0;2018
alemanha;mexico;0;2018
brasil;suica;0;2018
suecia;coreia_do_sul;1;2018
belgica;panama;1;2018
tunisia;inglaterra;0;2018
colombia;japao;0;2018
polonia;senegal;0;2018
russia;egito;1;2018
portugal;marrocos;1;2018
uruguai;arabia_saudita;1;2018
ira;espanha;0;2018
dinamarca;australia;0;2018
franca;peru;1;2018
argentina;croacia;0;2018
brasil;costa_rica;1;2018
nigeria;islandia;1;2018
servia;suica;0;2018
belgica;tunisia;1;2018
coreia_do_sul;mexico;0;2018
alemanha;suecia;1;2018
inglaterra;panama;1;2018
japao;senegal;0;2018
polonia;colombia;0;2018
arabia_saudita;egito;1;2018
uruguai;russia;1;2018
espanha;marrocos;0;2018
ira;portugal;0;2018
australia;peru;0;2018
dinamarca;franca;0;2018
islandia;croacia;0;2018
nigeria;argentina;0;2018
coreia_do_sul;alemanha;1;2018
mexico;suecia;0;2018
servia;brasil;0;2018
suica;costa_rica;0;2018
japao;polonia;0;2018
senegal;colombia;0;2018
inglaterra;belgica;0;2018
panama;tunisia;0;2018
franca;argentina;1;2018
uruguai;portugal;1;2018
espanha;russia;0;2018
croacia;dinamarca;1;2018
brasil;mexico;1;2018
belgica;japao;1;2018
suecia;suica;1;2018
colombia;inglaterra;0;2018
uruguai;franca;0;2018
brasil;belgica;0;2018
suecia;inglaterra;0;2018
russia;croacia;0;2018
franca;belgica;1;2018
croacia;inglaterra;1;2018
belgica;inglaterra;1;2018
franca;croacia;1;2018
