idade;selecao;ger;pot;funcao
28;belgica;91;91;ataque
28;belgica;91;91;ataque
27;belgica;88;89;defesa
30;belgica;87;87;defesa
32;belgica;87;87;ataque
32;belgica;87;87;defesa
26;belgica;86;88;ataque
31;belgica;85;85;ataque
30;belgica;85;85;ataque
33;belgica;84;84;defesa
26;belgica;83;84;ataque
27;belgica;83;85;defesa
26;belgica;82;83;ataque
27;belgica;82;83;ataque
32;belgica;81;81;ataque
25;belgica;80;83;ataque
24;belgica;79;85;defesa
24;belgica;79;85;ataque
24;belgica;79;85;ataque
24;belgica;79;83;ataque
27;belgica;79;80;ataque
22;belgica;78;87;ataque
27;belgica;78;81;defesa
28;belgica;78;80;defesa
31;belgica;78;78;defesa
31;belgica;78;78;ataque
31;belgica;78;78;ataque
33;belgica;78;78;defesa
24;belgica;77;82;ataque
25;belgica;77;80;ataque
34;croacia;91;91;ataque
31;croacia;87;87;ataque
33;croacia;85;85;ataque
30;croacia;85;85;ataque
28;croacia;83;83;ataque
25;croacia;82;86;ataque
33;croacia;82;82;defesa
26;croacia;81;83;ataque
27;croacia;81;81;defesa
30;croacia;81;81;defesa
34;croacia;81;81;defesa
25;croacia;80;84;ataque
30;croacia;80;80;defesa
30;croacia;79;79;ataque
31;croacia;79;79;ataque
21;croacia;77;85;ataque
22;croacia;76;85;defesa
24;croacia;76;84;defesa
21;croacia;76;84;ataque
24;croacia;76;82;ataque
24;croacia;76;82;ataque
24;croacia;76;83;ataque
23;croacia;76;83;defesa
26;croacia;76;79;ataque
24;croacia;75;81;ataque
22;croacia;75;81;defesa
29;croacia;75;77;defesa
23;croacia;75;82;ataque
29;croacia;75;75;defesa
30;croacia;74;74;ataque
27;dinamarca;88;89;ataque
32;dinamarca;83;83;defesa
28;dinamarca;82;83;ataque
30;dinamarca;81;81;defesa
23;dinamarca;80;87;defesa
25;dinamarca;80;82;ataque
27;dinamarca;79;80;defesa
30;dinamarca;79;79;ataque
24;dinamarca;78;84;ataque
33;dinamarca;78;78;ataque
22;dinamarca;77;85;defesa
23;dinamarca;77;85;defesa
24;dinamarca;77;82;ataque
25;dinamarca;77;80;ataque
28;dinamarca;77;77;ataque
21;dinamarca;76;83;ataque
29;dinamarca;76;77;defesa
23;dinamarca;75;81;ataque
26;dinamarca;75;78;ataque
23;dinamarca;75;83;ataque
25;dinamarca;75;80;defesa
27;dinamarca;75;76;ataque
27;dinamarca;75;79;defesa
28;dinamarca;75;75;ataque
30;dinamarca;75;76;defesa
20;dinamarca;74;85;ataque
23;dinamarca;74;83;ataque
26;dinamarca;74;76;ataque
29;dinamarca;74;74;ataque
27;dinamarca;74;75;defesa
26;inglaterra;90;92;ataque
24;inglaterra;87;89;ataque
23;inglaterra;85;90;ataque
29;inglaterra;84;84;defesa
21;inglaterra;83;90;ataque
25;inglaterra;83;88;defesa
25;inglaterra;83;87;defesa
32;inglaterra;82;82;ataque
26;inglaterra;82;83;ataque
26;inglaterra;82;85;defesa
29;inglaterra;82;82;ataque
24;inglaterra;81;85;defesa
28;inglaterra;81;81;defesa
29;inglaterra;81;81;defesa
33;inglaterra;81;81;ataque
19;inglaterra;80;91;ataque
20;inglaterra;80;89;defesa
26;inglaterra;80;85;defesa
26;inglaterra;80;83;ataque
27;inglaterra;80;81;ataque
29;inglaterra;80;80;defesa
33;inglaterra;80;80;defesa
33;inglaterra;80;80;ataque
23;inglaterra;79;86;ataque
26;inglaterra;79;82;defesa
27;inglaterra;79;82;defesa
26;inglaterra;79;82;defesa
25;inglaterra;79;83;defesa
25;inglaterra;79;82;ataque
27;inglaterra;79;80;defesa
28;franca;89;90;ataque
28;franca;89;89;ataque
20;franca;88;95;ataque
26;franca;88;91;ataque
32;franca;88;88;defesa
25;franca;87;92;defesa
25;franca;86;89;defesa
26;franca;86;91;defesa
31;franca;86;86;ataque
28;franca;85;85;ataque
32;franca;85;85;ataque
22;franca;84;92;ataque
24;franca;84;90;defesa
26;franca;84;87;ataque
23;franca;84;90;ataque
26;franca;84;85;ataque
32;franca;84;84;defesa
23;franca;83;89;defesa
25;franca;83;88;ataque
23;franca;83;89;ataque
23;franca;83;88;ataque
24;franca;83;87;ataque
36;franca;83;83;ataque
24;franca;82;88;defesa
25;franca;82;85;ataque
28;franca;82;85;defesa
29;franca;82;82;ataque
32;franca;82;82;ataque
32;franca;82;82;ataque
34;franca;82;82;defesa
27;alemanha;89;92;defesa
29;alemanha;89;89;ataque
30;alemanha;88;88;ataque
30;alemanha;88;88;defesa
33;alemanha;88;88;defesa
23;alemanha;86;92;ataque
24;alemanha;86;88;ataque
29;alemanha;86;86;ataque
30;alemanha;85;85;ataque
24;alemanha;84;90;defesa
23;alemanha;84;87;ataque
24;alemanha;84;88;ataque
24;alemanha;84;87;ataque
28;alemanha;84;84;ataque
31;alemanha;84;84;defesa
32;alemanha;84;84;ataque
20;alemanha;83;90;ataque
23;alemanha;83;88;ataque
25;alemanha;83;86;ataque
26;alemanha;83;86;defesa
29;alemanha;83;84;defesa
27;alemanha;83;86;defesa
31;alemanha;83;83;ataque
23;alemanha;82;87;defesa
26;alemanha;82;85;ataque
26;alemanha;82;84;defesa
29;alemanha;82;82;ataque
27;alemanha;82;83;ataque
27;alemanha;82;83;ataque
29;alemanha;82;83;defesa
30;islandia;82;82;ataque
30;islandia;79;79;ataque
28;islandia;79;79;ataque
26;islandia;73;78;defesa
26;islandia;73;78;defesa
28;islandia;73;73;ataque
30;islandia;73;73;ataque
33;islandia;73;73;defesa
29;islandia;72;72;ataque
35;islandia;72;72;ataque
26;islandia;71;74;ataque
36;islandia;71;71;defesa
25;islandia;70;75;ataque
24;islandia;70;78;defesa
27;islandia;70;71;ataque
32;islandia;70;70;ataque
29;islandia;70;70;ataque
36;islandia;70;70;defesa
22;islandia;69;81;ataque
27;islandia;69;70;ataque
24;islandia;69;73;defesa
35;islandia;69;69;defesa
28;islandia;69;69;ataque
31;islandia;69;69;ataque
31;islandia;69;69;ataque
29;islandia;68;69;defesa
32;islandia;68;68;ataque
20;islandia;67;82;ataque
33;islandia;67;67;ataque
25;islandia;66;69;ataque
31;polonia;90;90;ataque
29;polonia;86;88;defesa
25;polonia;82;86;ataque
25;polonia;82;86;ataque
31;polonia;82;82;defesa
34;polonia;82;82;defesa
34;polonia;81;81;defesa
24;polonia;79;85;ataque
29;polonia;78;78;ataque
24;polonia;76;83;ataque
28;polonia;76;79;defesa
32;polonia;76;76;ataque
23;polonia;75;83;defesa
25;polonia;75;80;defesa
28;polonia;75;75;ataque
39;polonia;75;75;defesa
27;polonia;74;75;defesa
31;polonia;74;74;defesa
31;polonia;74;74;ataque
33;polonia;74;74;ataque
26;polonia;73;77;defesa
22;polonia;73;84;defesa
24;polonia;73;80;ataque
27;polonia;73;75;defesa
29;polonia;73;73;ataque
21;polonia;72;83;ataque
27;polonia;72;73;defesa
22;polonia;72;82;ataque
27;polonia;72;72;ataque
28;polonia;72;72;defesa
34;portugal;94;94;ataque
25;portugal;86;91;ataque
25;portugal;85;89;ataque
28;portugal;85;87;defesa
36;portugal;85;85;defesa
29;portugal;84;84;ataque
22;portugal;83;89;ataque
25;portugal;83;88;defesa
28;portugal;83;84;ataque
31;portugal;83;83;defesa
33;portugal;83;83;ataque
35;portugal;83;83;ataque
24;portugal;82;87;ataque
26;portugal;82;83;ataque
25;portugal;82;85;ataque
27;portugal;82;85;ataque
25;portugal;81;86;defesa
22;portugal;81;87;ataque
26;portugal;81;84;ataque
25;portugal;81;84;ataque
23;portugal;80;86;ataque
23;portugal;80;85;ataque
26;portugal;80;83;ataque
29;portugal;80;80;defesa
32;portugal;80;80;defesa
35;portugal;80;80;defesa
32;portugal;80;80;ataque
22;portugal;79;85;defesa
29;portugal;79;79;ataque
24;portugal;79;84;ataque
28;russia;82;82;ataque
29;russia;80;80;ataque
33;russia;80;80;defesa
35;russia;80;80;defesa
27;russia;79;81;defesa
23;russia;79;85;ataque
25;russia;79;86;ataque
28;russia;79;79;ataque
25;russia;78;84;defesa
25;russia;78;82;defesa
29;russia;78;78;ataque
31;russia;78;78;ataque
33;russia;78;78;defesa
26;russia;77;80;ataque
23;russia;77;82;ataque
30;russia;77;77;defesa
36;russia;76;76;ataque
29;russia;75;77;defesa
30;russia;75;75;ataque
32;russia;75;75;ataque
28;russia;75;75;ataque
32;russia;75;75;defesa
30;russia;74;74;defesa
26;russia;74;79;defesa
32;russia;74;74;defesa
32;russia;74;74;ataque
35;russia;74;74;defesa
35;russia;74;74;defesa
21;russia;73;85;ataque
25;russia;73;76;ataque
28;espanha;90;92;defesa
33;espanha;90;90;ataque
33;espanha;90;90;defesa
31;espanha;89;89;ataque
32;espanha;88;88;defesa
27;espanha;87;88;ataque
28;espanha;87;87;ataque
30;espanha;87;87;defesa
24;espanha;85;90;ataque
27;espanha;85;86;defesa
27;espanha;85;85;ataque
30;espanha;85;85;ataque
30;espanha;85;85;defesa
23;espanha;84;89;ataque
24;espanha;84;90;defesa
32;espanha;84;84;ataque
29;espanha;84;84;ataque
32;espanha;84;84;ataque
30;espanha;84;84;ataque
34;espanha;84;84;defesa
23;espanha;83;88;ataque
28;espanha;83;83;ataque
25;espanha;83;85;ataque
29;espanha;83;84;defesa
27;espanha;83;84;ataque
27;espanha;83;84;ataque
28;espanha;83;83;ataque
28;espanha;83;84;defesa
28;espanha;83;83;defesa
28;espanha;83;83;ataque
37;suecia;85;85;ataque
27;suecia;82;83;ataque
25;suecia;81;87;defesa
33;suecia;79;79;defesa
29;suecia;78;78;defesa
33;suecia;78;78;ataque
27;suecia;77;78;ataque
28;suecia;77;79;defesa
30;suecia;77;77;ataque
34;suecia;77;77;defesa
33;suecia;77;77;ataque
25;suecia;76;81;defesa
33;suecia;76;76;ataque
26;suecia;75;76;ataque
25;suecia;75;78;ataque
26;suecia;75;77;defesa
27;suecia;75;76;ataque
24;suecia;74;79;ataque
27;suecia;74;75;ataque
29;suecia;74;74;ataque
30;suecia;74;74;ataque
32;suecia;74;74;ataque
34;suecia;74;74;ataque
30;suecia;73;73;defesa
25;suecia;73;77;defesa
26;suecia;73;75;ataque
29;suecia;73;74;defesa
33;suecia;73;73;defesa
29;suecia;73;73;ataque
33;suecia;73;73;defesa
28;suica;85;86;defesa
30;suica;84;85;defesa
24;suica;82;88;defesa
27;suica;82;82;ataque
26;suica;81;84;ataque
27;suica;80;81;defesa
31;suica;79;79;defesa
22;suica;78;84;defesa
27;suica;78;79;ataque
22;suica;77;85;ataque
24;suica;77;83;defesa
27;suica;77;80;defesa
27;suica;77;78;ataque
28;suica;77;77;ataque
28;suica;77;77;ataque
31;suica;77;77;defesa
33;suica;77;77;ataque
33;suica;77;77;ataque
22;suica;76;85;ataque
26;suica;76;78;ataque
29;suica;76;76;ataque
27;suica;76;76;ataque
25;suica;76;81;defesa
28;suica;76;76;ataque
34;suica;76;76;ataque
35;suica;76;76;defesa
27;suica;75;76;ataque
30;suica;75;75;ataque
25;suica;74;76;ataque
22;suica;74;79;ataque
24;servia;85;90;ataque
30;servia;84;84;ataque
31;servia;83;83;ataque
33;servia;83;83;defesa
21;servia;82;88;ataque
27;servia;80;81;defesa
26;servia;80;81;ataque
28;servia;80;81;ataque
26;servia;80;84;defesa
31;servia;80;80;defesa
27;servia;79;80;ataque
24;servia;78;82;ataque
27;servia;78;81;defesa
30;servia;78;78;ataque
24;servia;77;83;ataque
31;servia;77;77;defesa
31;servia;77;77;ataque
30;servia;77;77;defesa
35;servia;77;77;ataque
23;servia;76;86;ataque
24;servia;76;82;ataque
23;servia;76;83;ataque
29;servia;76;76;ataque
27;servia;75;76;ataque
26;servia;75;78;ataque
23;servia;75;81;defesa
29;servia;75;76;defesa
28;servia;75;75;ataque
34;servia;75;75;ataque
30;servia;75;75;defesa
32;argentina;94;94;ataque
25;argentina;89;94;ataque
31;argentina;89;89;ataque
26;argentina;87;89;ataque
31;argentina;87;87;ataque
31;argentina;85;85;ataque
31;argentina;84;84;defesa
31;argentina;84;84;ataque
31;argentina;84;84;ataque
23;argentina;82;88;ataque
27;argentina;82;83;defesa
32;argentina;82;82;defesa
33;argentina;82;82;ataque
27;argentina;81;81;ataque
27;argentina;81;85;defesa
24;argentina;81;87;ataque
30;argentina;81;81;ataque
31;argentina;81;81;ataque
27;argentina;81;81;ataque
36;argentina;81;81;ataque
22;argentina;80;88;ataque
25;argentina;80;85;ataque
29;argentina;80;80;ataque
29;argentina;80;80;ataque
32;argentina;80;80;defesa
25;argentina;80;85;ataque
28;argentina;80;82;defesa
28;argentina;80;80;ataque
29;argentina;80;80;ataque
26;argentina;80;82;ataque
27;brasil;92;92;ataque
34;brasil;88;88;defesa
26;brasil;87;91;defesa
27;brasil;87;89;defesa
34;brasil;87;87;defesa
26;brasil;86;90;defesa
27;brasil;86;87;ataque
28;brasil;86;86;ataque
27;brasil;86;86;ataque
31;brasil;86;86;defesa
25;brasil;85;89;defesa
25;brasil;85;90;defesa
28;brasil;85;85;ataque
34;brasil;85;85;defesa
26;brasil;84;86;defesa
26;brasil;84;85;ataque
28;brasil;84;84;ataque
30;brasil;84;85;defesa
31;brasil;84;84;ataque
31;brasil;84;84;ataque
32;brasil;84;84;defesa
22;brasil;83;90;ataque
23;brasil;83;90;ataque
27;brasil;83;83;ataque
27;brasil;83;83;defesa
27;brasil;83;83;ataque
25;brasil;83;88;ataque
30;brasil;83;83;defesa
27;brasil;83;84;ataque
28;brasil;83;83;ataque
28;colombia;87;87;ataque
31;colombia;84;84;ataque
33;colombia;84;84;ataque
23;colombia;83;87;defesa
28;colombia;82;82;ataque
26;colombia;80;83;ataque
33;colombia;80;80;ataque
27;colombia;80;83;defesa
28;colombia;80;80;ataque
24;colombia;79;83;ataque
27;colombia;79;80;defesa
31;colombia;79;79;defesa
24;colombia;78;83;defesa
25;colombia;78;83;ataque
27;colombia;78;79;ataque
32;colombia;78;78;defesa
23;colombia;77;83;ataque
28;colombia;77;77;defesa
30;colombia;77;78;defesa
30;colombia;77;77;defesa
33;colombia;77;77;defesa
26;colombia;76;77;ataque
27;colombia;76;76;ataque
28;colombia;76;76;ataque
26;colombia;76;80;defesa
34;colombia;76;76;ataque
33;colombia;76;76;ataque
31;colombia;76;76;ataque
26;colombia;76;77;ataque
33;colombia;76;76;ataque
28;peru;78;78;ataque
34;peru;77;77;ataque
29;peru;76;76;ataque
29;peru;75;75;ataque
30;peru;75;75;defesa
24;peru;74;79;ataque
29;peru;74;74;defesa
40;peru;74;74;ataque
24;peru;73;78;ataque
23;peru;72;81;defesa
29;peru;72;72;defesa
29;peru;72;72;ataque
25;peru;71;73;ataque
27;peru;71;74;defesa
23;peru;70;76;ataque
27;peru;70;73;defesa
24;peru;69;74;ataque
27;peru;69;69;defesa
24;peru;69;74;defesa
30;peru;69;69;defesa
27;peru;68;71;defesa
33;peru;68;68;defesa
24;peru;67;71;ataque
24;peru;67;73;ataque
25;peru;67;69;ataque
24;peru;66;72;ataque
22;peru;66;76;ataque
26;peru;66;67;ataque
28;peru;66;66;ataque
26;peru;66;67;ataque
32;uruguai;91;91;ataque
33;uruguai;90;90;defesa
32;uruguai;89;89;ataque
24;uruguai;84;88;defesa
23;uruguai;82;87;ataque
28;uruguai;82;83;defesa
32;uruguai;81;81;ataque
33;uruguai;81;81;defesa
23;uruguai;80;85;ataque
28;uruguai;80;81;ataque
30;uruguai;79;80;defesa
28;uruguai;79;79;ataque
22;uruguai;78;88;ataque
26;uruguai;78;79;ataque
28;uruguai;78;78;ataque
31;uruguai;78;78;defesa
30;uruguai;78;78;ataque
32;uruguai;78;78;defesa
23;uruguai;77;82;ataque
23;uruguai;77;84;ataque
24;uruguai;77;82;ataque
29;uruguai;77;77;ataque
28;uruguai;77;79;defesa
21;uruguai;76;88;ataque
21;uruguai;75;82;defesa
24;uruguai;75;81;defesa
24;uruguai;75;80;defesa
26;uruguai;75;78;ataque
26;uruguai;75;79;ataque
30;uruguai;75;75;ataque
32;costa_rica;87;87;defesa
30;costa_rica;76;76;defesa
31;costa_rica;76;76;ataque
31;costa_rica;75;75;defesa
27;costa_rica;75;75;ataque
29;costa_rica;71;71;ataque
32;costa_rica;71;71;defesa
27;costa_rica;71;72;defesa
25;costa_rica;70;75;ataque
27;costa_rica;69;70;ataque
29;costa_rica;69;69;defesa
29;costa_rica;69;69;defesa
26;costa_rica;68;69;ataque
25;costa_rica;68;70;ataque
26;costa_rica;67;70;defesa
28;costa_rica;67;67;defesa
20;costa_rica;66;75;ataque
25;costa_rica;66;69;defesa
26;costa_rica;66;67;ataque
22;costa_rica;65;73;ataque
21;costa_rica;65;75;defesa
24;costa_rica;64;72;defesa
29;costa_rica;64;66;defesa
31;costa_rica;64;64;ataque
22;costa_rica;62;70;ataque
23;costa_rica;62;65;defesa
28;costa_rica;62;62;ataque
20;costa_rica;61;72;defesa
21;costa_rica;59;67;ataque
30;mexico;83;83;ataque
24;mexico;82;87;ataque
26;mexico;82;83;ataque
32;mexico;82;82;ataque
29;mexico;82;82;ataque
28;mexico;78;78;ataque
31;mexico;78;78;ataque
31;mexico;78;78;ataque
31;mexico;78;78;defesa
29;mexico;78;78;ataque
34;mexico;78;78;defesa
25;mexico;77;81;defesa
25;mexico;77;81;ataque
31;mexico;77;77;ataque
24;mexico;76;82;ataque
29;mexico;76;76;ataque
28;mexico;76;78;defesa
26;mexico;76;79;defesa
29;mexico;76;76;ataque
33;mexico;76;76;defesa
21;mexico;75;83;defesa
24;mexico;75;80;ataque
31;mexico;75;75;ataque
26;mexico;75;76;ataque
30;mexico;75;75;ataque
30;mexico;75;75;ataque
32;mexico;75;75;defesa
35;mexico;75;75;ataque
38;mexico;75;75;defesa
25;mexico;74;77;ataque
29;panama;73;73;ataque
23;panama;72;80;defesa
25;panama;71;74;ataque
33;panama;70;70;defesa
27;panama;69;70;defesa
35;panama;68;68;defesa
24;panama;67;70;ataque
22;panama;63;65;ataque
25;panama;61;64;ataque
23;panama;53;61;ataque
27;egito;89;89;ataque
24;egito;78;80;ataque
27;egito;77;79;ataque
