pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1.0;franca;23.0;10.0;7.0;2.0;1.0;18.0;6.0;12.0;uefa
2.0;suecia;19.0;10.0;6.0;1.0;3.0;26.0;9.0;17.0;uefa
1.0;portugal;27.0;10.0;9.0;0.0;1.0;32.0;4.0;28.0;uefa
2.0;suica;27.0;10.0;9.0;0.0;1.0;23.0;7.0;16.0;uefa
1.0;alemanha;30.0;10.0;10.0;0.0;0.0;43.0;4.0;39.0;uefa
1.0;servia;21.0;10.0;6.0;3.0;1.0;20.0;10.0;10.0;uefa
1.0;polonia;25.0;10.0;8.0;1.0;1.0;28.0;14.0;14.0;uefa
2.0;dinamarca;20.0;10.0;6.0;2.0;2.0;20.0;8.0;12.0;uefa
1.0;inglaterra;26.0;10.0;8.0;2.0;0.0;18.0;3.0;15.0;uefa
1.0;espanha;28.0;10.0;9.0;1.0;0.0;36.0;3.0;33.0;uefa
1.0;belgica;28.0;10.0;9.0;1.0;0.0;43.0;6.0;37.0;uefa
1.0;islandia;22.0;10.0;7.0;1.0;2.0;16.0;7.0;9.0;uefa
2.0;croacia;20.0;10.0;6.0;2.0;2.0;15.0;4.0;11.0;uefa
;russia;;;;;;;;;uefa
