pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;classif
1;Argélia;14;6;4;2;0;25;4;21;caf;
2;Burquina Fasso;12;6;3;3;0;12;4;8;caf;
3;Níger;7;6;2;1;2;13;17;-4;caf;
4;Djibouti;0;6;0;0;6;4;29;-25;caf;
2;Guiné Equatorial;11;6;3;2;1;6;5;1;caf;
3;Zâmbia;7;6;2;1;3;8;9;-1;caf;
4;Mauritânia;2;6;0;2;4;2;11;-9;caf;
1;Nigéria;13;6;4;1;1;9;3;6;caf;
2;Cabo Verde;11;6;3;2;1;8;5;2;caf;
3;Libéria;6;6;2;0;4;5;8;-3;caf;
4;República Centro-Africana;4;6;1;1;4;4;9;-5;caf;
2;Costa do Marfim;13;6;4;1;1;10;1;7;caf;
3;Moçambique;4;6;1;1;4;2;8;-6;caf;
4;Malawi;3;6;1;0;5;2;12;-10;caf;
1;Mali;16;6;5;1;0;11;0;11;caf;
2;Uganda;9;6;2;3;1;3;2;1;caf;
3;Quénia;6;6;1;3;2;4;9;-5;caf;
4;Ruanda;1;6;0;1;5;2;9;-7;caf;
1;Egito;14;6;4;2;0;10;4;6;caf;
2;Gabão;7;6;2;1;3;7;8;-1;caf;
3;Líbia;7;6;2;1;3;4;7;-3;caf;
4;Angola;5;6;1;2;3;6;8;-2;caf;
2;África do Sul;13;6;4;1;0;6;2;4;caf;
3;Etiópia;5;6;1;2;3;4;7;-3;caf;
4;Zimbabwe;2;6;0;2;4;2;7;-5;caf;
2;Togo;8;6;2;2;2;5;6;-1;caf;
3;Namíbia;5;6;1;2;3;5;10;-5;caf;
4;Congo;3;6;0;3;3;5;10;-5;caf;
2;Guiné-Bissau;6;6;1;3;2;5;11;-6;caf;
3;Guiné;4;6;0;4;2;5;11;-6;caf;
4;Sudão;3;6;0;3;3;5;12;-7;caf;
1;RD Congo;11;6;3;2;1;9;3;6;caf;
2;Benim;10;6;3;1;2;5;4;1;caf;
3;Tanzânia;8;6;2;2;2;6;8;-2;caf;
4;Madagascar;4;6;1;1;4;4;9;-5;caf;
