home_team_name,away_team_name,grupo
qatar,equador,a
inglaterra,ira,b
senegal,holanda,a
estados_unidos,gales,b
argentina,arabia_saudita,c
dinamarca,tunisia,d
mexico,polonia,c
franca,australia,d
marrocos,croacia,f
alemanha,japao,e
espanha,costa_rica,e
belgica,canada,f
suica,camaroes,g
uruguai,coreia_do_sul,h
portugal,gana,h
brasil,servia,g
gales,ira,b
qatar,senegal,a
holanda,equador,a
inglaterra,estados_unidos,b
tunisia,australia,d
polonia,arabia_saudita,c
franca,dinamarca,d
argentina,mexico,c
japao,costa_rica,e
belgica,marrocos,f
croacia,canada,f
espanha,alemanha,e
camaroes,servia,g
coreia_do_sul,gana,h
brasil,suica,g
portugal,uruguai,h
equador,senegal,a
holanda,qatar,a
ira,estados_unidos,b
gales,inglaterra,b
tunisia,franca,d
australia,dinamarca,d
polonia,argentina,c
arabia_saudita,mexico,c
croacia,belgica,f
canada,marrocos,f
japao,espanha,e
costa_rica,alemanha,e
coreia_do_sul,portugal,h
gana,uruguai,h
servia,suica,g
camaroes,brasil,g
