pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
3;irlanda;9;8;2;3;3;11;8;3;uefa
4;luxemburgo;9;8;3;0;5;8;18;-10;uefa
5;azerbaijao;1;8;0;1;7;5;18;-13;uefa
2;suecia;15;8;5;0;3;12;6;6;uefa
3;grecia;10;8;2;4;2;8;8;0;uefa
4;georgia;7;8;2;1;5;6;12;-6;uefa
5;kosovo;5;8;1;2;5;5;15;-10;uefa
2;italia;16;8;4;4;0;13;2;11;uefa
3;irlanda_do_norte;9;8;2;3;3;6;7;-1;uefa
4;bulgaria;8;8;2;2;4;6;14;-8;uefa
5;lituania;3;8;1;0;7;4;19;-15;uefa
2;ucrania;12;8;2;6;0;11;8;3;uefa
3;finlandia;11;8;3;2;3;10;10;0;uefa
4;bosnia_e_herzegovina;7;8;1;4;3;9;12;-3;uefa
5;cazaquistao;3;8;0;3;5;5;20;-15;uefa
3;republica_tcheca;14;8;4;2;2;14;9;5;uefa
4;estonia;4;8;1;1;6;9;21;-12;uefa
5;bielorrussia;3;8;1;0;7;7;24;-17;uefa
2;escocia;23;10;7;2;1;17;7;10;uefa
3;israel;16;10;5;1;4;23;21;2;uefa
4;austria;16;10;5;1;4;19;17;2;uefa
5;ilhas_faroe;4;10;1;1;8;7;23;-16;uefa
6;moldavia;1;10;0;1;9;5;30;-25;uefa
2;turquia;21;10;6;3;1;27;16;11;uefa
3;noruega;18;10;5;3;2;15;8;7;uefa
4;montenegro;12;10;3;3;4;14;15;-1;uefa
5;letonia;9;10;2;3;5;11;14;-3;uefa
6;gibraltar;0;10;0;0;10;4;43;-39;uefa
2;russia;22;10;7;1;2;19;6;13;uefa
3;eslovaquia;14;11;3;5;3;17;10;7;uefa
4;eslovenia;14;10;4;2;4;13;12;1;uefa
5;chipre;5;10;1;2;7;4;21;-17;uefa
6;malta;5;10;1;2;7;9;30;-21;uefa
3;albania;18;10;6;0;4;12;12;0;uefa
4;hungria;17;10;5;2;3;19;13;6;uefa
5;andorra;6;10;2;0;8;8;24;-16;uefa
6;san_marino;0;10;0;0;10;1;46;-45;uefa
2;macedonia_do_norte;18;10;5;3;2;23;11;12;uefa
3;romenia;17;10;5;2;3;13;8;5;uefa
4;armenia;12;10;3;3;4;9;20;-11;uefa
5;islandia;9;10;2;3;5;12;18;-6;uefa
6;liechtenstein;1;10;0;1;9;2;34;-32;uefa
