pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;classif;conf_cont
1;Sérvia;20;8;6;2;0;18;9;9;qualificadas para a Copa do Mundo de 2022;uefa
2;Portugal;17;8;5;2;1;17;6;11;qualificadas para a segunda fase;uefa
1;Espanha;19;8;6;1;1;15;5;10;qualificadas para a Copa do Mundo de 2022;uefa
1;Suíça;18;8;5;3;0;15;2;13;qualificadas para a Copa do Mundo de 2022;uefa
1;França;18;8;5;3;0;18;3;15;qualificadas para a Copa do Mundo de 2022;uefa
1;Bélgica;20;8;6;2;0;25;6;19;qualificadas para a Copa do Mundo de 2022;uefa
2;País de Gales;15;8;4;3;1;14;9;5;qualificadas para a segunda fase;uefa
1;Dinamarca;27;10;9;0;1;30;3;27;qualificadas para a Copa do Mundo de 2022;uefa
1;Países Baixos;23;10;7;2;1;33;8;25;qualificadas para a Copa do Mundo de 2022;uefa
1;Croácia;23;10;7;2;1;21;4;17;qualificadas para a Copa do Mundo de 2022;uefa
1;Inglaterra;26;10;8;2;0;39;3;36;qualificadas para a Copa do Mundo de 2022;uefa
2;Polónia;20;10;6;2;2;30;11;19;qualificadas para a segunda fase;uefa
1;Alemanha;27;10;9;0;1;36;4;32;qualificadas para a Copa do Mundo de 2022;uefa
