pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;classif;conf_cont
3;Irlanda;9;8;2;3;3;11;8;3;Eliminado;uefa
4;Luxemburgo;9;8;3;0;5;8;18;-10;Eliminado;uefa
5;Azerbaijão;1;8;0;1;7;5;18;-13;Eliminado;uefa
2;Suécia;15;8;5;0;3;12;6;6;qualificadas para a segunda fase;uefa
3;Grécia;10;8;2;4;2;8;8;0;Eliminado;uefa
4;Geórgia;7;8;2;1;5;6;12;-6;Eliminado;uefa
5;Kosovo;5;8;1;2;5;5;15;-10;Eliminado;uefa
2;Itália;16;8;4;4;0;13;2;11;qualificadas para a segunda fase;uefa
3;Irlanda do Norte;9;8;2;3;3;6;7;-1;Eliminado;uefa
4;Bulgária;8;8;2;2;4;6;14;-8;Eliminado;uefa
5;Lituânia;3;8;1;0;7;4;19;-15;Eliminado;uefa
2;Ucrânia;12;8;2;6;0;11;8;3;qualificadas para a segunda fase;uefa
3;Finlândia;11;8;3;2;3;10;10;0;Eliminado;uefa
4;Bósnia e Herzegovina;7;8;1;4;3;9;12;-3;Eliminado;uefa
5;Cazaquistão;3;8;0;3;5;5;20;-15;Eliminado;uefa
3;Chéquia;14;8;4;2;2;14;9;5;qualificadas para a segunda fase;uefa
4;Estónia;4;8;1;1;6;9;21;-12;Eliminado;uefa
5;Bielorrússia;3;8;1;0;7;7;24;-17;Eliminado;uefa
2;Escócia;23;10;7;2;1;17;7;10;qualificadas para a segunda fase;uefa
3;Israel;16;10;5;1;4;23;21;2;Eliminado;uefa
4;Áustria;16;10;5;1;4;19;17;2;qualificadas para a segunda fase;uefa
5;Ilhas Faroé;4;10;1;1;8;7;23;-16;Eliminado;uefa
6;Moldávia;1;10;0;1;9;5;30;-25;Eliminado;uefa
2;Turquia;21;10;6;3;1;27;16;11;qualificadas para a segunda fase;uefa
3;Noruega;18;10;5;3;2;15;8;7;Eliminado;uefa
4;Montenegro;12;10;3;3;4;14;15;-1;Eliminado;uefa
5;Letónia;9;10;2;3;5;11;14;-3;Eliminado;uefa
6;Gibraltar;0;10;0;0;10;4;43;-39;Eliminado;uefa
2;Rússia;22;10;7;1;2;19;6;13;qualificadas para a segunda fase;uefa
3;Eslováquia;14;11;3;5;3;17;10;7;Eliminado;uefa
4;Eslovênia;14;10;4;2;4;13;12;1;Eliminado;uefa
5;Chipre;5;10;1;2;7;4;21;-17;Eliminado;uefa
6;Malta;5;10;1;2;7;9;30;-21;Eliminado;uefa
3;Albânia;18;10;6;0;4;12;12;0;Eliminado;uefa
4;Hungria;17;10;5;2;3;19;13;6;Eliminado;uefa
5;Andorra;6;10;2;0;8;8;24;-16;Eliminado;uefa
6;San Marino;0;10;0;0;10;1;46;-45;Eliminado;uefa
2;Macedônia do Norte;18;10;5;3;2;23;11;12;qualificadas para a segunda fase;uefa
3;Romênia;17;10;5;2;3;13;8;5;Eliminado;uefa
4;Armênia;12;10;3;3;4;9;20;-11;Eliminado;uefa
5;Islândia;9;10;2;3;5;12;18;-6;Eliminado;uefa
6;Liechtenstein;1;10;0;1;9;2;34;-32;Eliminado;uefa
